salary_id,employee_id,effective_date,previous_salary,new_salary,increment_percent,change_reason
58,2759,2025-03-29,1620395,1940098.93,19.73,Annual Increment
59,249,2024-06-10,1094358,1262670.26,15.38,Annual Increment
60,1019,2025-04-22,651793,692399.7,6.23,Performance Bonus
61,575,2025-07-31,1134749,1204195.64,6.12,Performance Bonus
62,1024,2025-02-09,408093,451065.19,10.53,Salary Revision
63,402,2025-03-29,356091,406264.22,14.09,Salary Revision
64,61,2024-06-23,445586,529133.38,18.75,Promotion
65,682,2024-11-07,1102312,1226432.33,11.26,Promotion
66,1643,2024-06-16,372967,394599.09,5.8,Annual Increment
67,1600,2024-09-24,806171,957328.06,18.75,Performance Bonus
68,1169,2024-12-27,1137110,1305857.12,14.84,Salary Revision
69,2712,2025-07-07,1756611,1954581.06,11.27,Promotion
70,1216,2024-02-14,706551,844116.48,19.47,Salary Revision
71,2221,2024-05-15,377837,437232.98,15.72,Annual Increment
72,206,2025-05-25,1475109,1638993.61,11.11,Salary Revision
73,645,2025-12-03,369285,440667.79,19.33,Annual Increment
74,762,2025-07-23,393699,445352.31,13.12,Promotion
75,1654,2024-03-21,501420,596739.94,19.01,Salary Revision
76,1009,2024-01-17,1464081,1656022.02,13.11,Salary Revision
77,336,2024-02-17,1129178,1289295.44,14.18,Salary Revision
78,2142,2025-11-12,913475,1086030.43,18.89,Promotion
79,2744,2025-11-19,1751963,1898076.71,8.34,Market Adjustment
80,1622,2024-08-24,524471,600099.72,14.42,Market Adjustment
81,1873,2025-07-12,913071,1084637.04,18.79,Annual Increment
82,39,2024-07-31,1211094,1375318.35,13.56,Salary Revision
83,410,2025-05-21,403638,452639.65,12.14,Salary Revision
84,1087,2024-05-03,527781,627373.27,18.87,Annual Increment
85,1001,2025-06-23,1024954,1105310.39,7.84,Performance Bonus
86,2226,2025-03-17,1725430,1865880.0,8.14,Salary Revision
87,33,2024-12-23,1650610,1929398.03,16.89,Market Adjustment
88,2718,2025-09-01,467236,555823.95,18.96,Promotion
89,1084,2024-09-23,492071,581283.47,18.13,Salary Revision
90,637,2025-06-03,821155,885122.97,7.79,Promotion
91,2940,2024-09-13,969072,1031674.05,6.46,Market Adjustment
92,2071,2024-07-21,1274525,1367182.97,7.27,Annual Increment
93,379,2024-06-26,1580190,1741369.38,10.2,Market Adjustment
94,181,2024-03-01,257435,279754.61,8.67,Promotion
95,2610,2024-01-26,799360,845323.2,5.75,Performance Bonus
96,2260,2025-04-04,1729891,1907550.81,10.27,Annual Increment
97,459,2025-11-22,407797,485563.89,19.07,Promotion
98,2235,2024-07-04,325556,381519.08,17.19,Salary Revision
99,2264,2025-07-25,560575,618370.28,10.31,Annual Increment
100,1263,2024-09-27,1014729,1200221.46,18.28,Annual Increment
101,1466,2025-08-17,690562,791384.05,14.6,Annual Increment
102,1449,2024-12-25,1424160,1680936.05,18.03,Performance Bonus
103,2543,2025-06-09,574121,681711.28,18.74,Promotion
104,666,2025-05-22,621305,733015.64,17.98,Annual Increment
105,735,2025-06-02,1794687,2130652.41,18.72,Performance Bonus
106,2744,2024-01-28,1791527,2092145.23,16.78,Market Adjustment
107,653,2025-07-19,1720686,1803967.2,4.84,Annual Increment
108,1928,2024-09-29,716477,762259.88,6.39,Performance Bonus
109,1433,2025-11-03,890031,1040891.25,16.95,Promotion
110,914,2024-10-26,299627,342233.96,14.22,Performance Bonus
111,1345,2024-07-02,834272,981854.72,17.69,Market Adjustment
112,1439,2025-12-05,1595284,1781294.11,11.66,Salary Revision
113,1357,2024-03-25,307882,323152.95,4.96,Market Adjustment
114,732,2024-04-10,1467584,1751708.26,19.36,Market Adjustment
115,157,2024-04-06,477336,540057.95,13.14,Market Adjustment
116,2985,2025-03-09,907829,1002424.78,10.42,Salary Revision
117,474,2025-04-23,1057813,1251287.0,18.29,Promotion
118,1044,2025-06-01,343085,394719.29,15.05,Annual Increment
119,2130,2025-01-05,1379215,1581683.76,14.68,Promotion
120,1492,2024-07-04,1154496,1202869.38,4.19,Market Adjustment
121,2553,2024-04-28,908328,1038037.24,14.28,Annual Increment
122,2949,2025-01-28,879821,982056.2,11.62,Performance Bonus
123,1337,2025-09-24,1093894,1256337.26,14.85,Salary Revision
124,522,2024-12-30,652317,718527.18,10.15,Performance Bonus
125,2775,2024-09-10,614961,697734.75,13.46,Market Adjustment
126,1664,2025-07-10,1399107,1639333.67,17.17,Market Adjustment
127,1176,2024-05-27,690785,762004.93,10.31,Salary Revision
128,2485,2024-04-23,1623017,1760648.84,8.48,Performance Bonus
129,1812,2025-02-03,1666893,1777408.01,6.63,Performance Bonus
130,696,2024-07-20,1631710,1704157.92,4.44,Salary Revision
131,2720,2024-11-06,1577373,1790791.57,13.53,Annual Increment
132,963,2025-08-25,1660954,1798480.99,8.28,Promotion
133,604,2024-05-17,301223,312639.35,3.79,Performance Bonus
134,2504,2025-11-05,402731,445984.31,10.74,Salary Revision
135,797,2024-10-24,1756480,2017141.63,14.84,Performance Bonus
136,1637,2024-05-16,761672,803640.13,5.51,Annual Increment
137,437,2025-04-13,1141596,1218311.25,6.72,Salary Revision
138,1903,2025-08-02,355315,399658.31,12.48,Annual Increment
139,1870,2024-10-10,529632,617656.84,16.62,Salary Revision
140,2290,2025-07-04,1498754,1624499.46,8.39,Performance Bonus
141,2510,2024-01-13,1758426,2077756.16,18.16,Performance Bonus
142,2245,2024-08-07,1185148,1401437.51,18.25,Performance Bonus
143,1844,2024-09-09,793564,918788.4,15.78,Market Adjustment
144,2136,2024-01-13,1266273,1439119.26,13.65,Market Adjustment
145,1802,2024-02-01,412494,474904.34,15.13,Promotion
146,1113,2024-10-24,954323,1034867.86,8.44,Salary Revision
147,331,2024-06-19,540191,570225.62,5.56,Performance Bonus
148,2843,2025-09-20,570455,656080.3,15.01,Annual Increment
149,1700,2024-03-02,1104797,1200030.5,8.62,Performance Bonus
150,1704,2024-07-15,380580,405393.82,6.52,Performance Bonus
151,1596,2024-02-03,1474903,1756314.49,19.08,Annual Increment
152,2359,2024-07-12,1047716,1164117.25,11.11,Market Adjustment
153,1224,2024-11-27,1067861,1254843.46,17.51,Performance Bonus
154,2205,2025-02-18,1790639,2010529.47,12.28,Salary Revision
155,904,2025-05-18,1273891,1359623.86,6.73,Performance Bonus
156,1990,2025-09-30,310869,340743.51,9.61,Performance Bonus
157,2967,2024-01-04,596123,699192.67,17.29,Promotion
158,2549,2025-04-02,1370138,1417544.77,3.46,Performance Bonus
159,2425,2024-09-29,1433615,1638191.86,14.27,Annual Increment
160,2633,2025-03-11,1148866,1209870.78,5.31,Performance Bonus
161,745,2025-06-23,355454,381828.69,7.42,Market Adjustment
162,867,2024-01-06,1203573,1306598.85,8.56,Performance Bonus
163,1140,2024-06-13,1134085,1216759.8,7.29,Annual Increment
164,1927,2024-09-24,290649,336368.09,15.73,Annual Increment
165,1434,2024-08-07,720227,821418.89,14.05,Annual Increment
166,128,2024-12-25,768590,817702.9,6.39,Annual Increment
167,2545,2024-06-07,569568,609779.5,7.06,Performance Bonus
168,2743,2025-07-10,489892,551569.4,12.59,Promotion
169,1905,2024-12-26,1716884,1843246.66,7.36,Market Adjustment
170,688,2025-01-20,1520649,1723199.45,13.32,Annual Increment
171,671,2025-05-04,902295,945966.08,4.84,Annual Increment
172,1278,2025-06-14,1457533,1669021.04,14.51,Performance Bonus
173,1625,2024-08-21,1749494,1860936.77,6.37,Salary Revision
174,2829,2024-08-10,1565422,1677036.59,7.13,Market Adjustment
175,2803,2024-11-24,1509154,1761031.8,16.69,Salary Revision
176,169,2024-12-09,978139,1096102.56,12.06,Market Adjustment
177,283,2024-08-26,1311076,1494757.75,14.01,Annual Increment
178,1721,2024-09-19,1278027,1339244.49,4.79,Market Adjustment
179,2604,2024-07-09,1214143,1396507.28,15.02,Performance Bonus
180,722,2025-01-10,1788880,2001220.06,11.87,Market Adjustment
181,2523,2024-06-17,1378630,1601554.47,16.17,Performance Bonus
182,1785,2025-05-19,1783073,2016120.64,13.07,Market Adjustment
183,1006,2024-05-01,431745,465162.06,7.74,Performance Bonus
184,999,2025-11-03,1224564,1379961.17,12.69,Performance Bonus
185,1378,2024-05-11,310188,345549.43,11.4,Market Adjustment
186,745,2025-01-23,1272466,1356576.0,6.61,Market Adjustment
187,1395,2024-10-18,836486,986802.53,17.97,Market Adjustment
188,2277,2025-04-25,271288,303245.73,11.78,Promotion
189,351,2025-02-24,756160,871398.78,15.24,Performance Bonus
190,2275,2025-06-15,753995,865133.86,14.74,Performance Bonus
191,1836,2025-08-17,286161,299267.17,4.58,Promotion
192,1657,2024-03-10,1700782,1822217.83,7.14,Salary Revision
193,1512,2025-10-07,1242499,1396693.13,12.41,Market Adjustment
194,1743,2024-03-31,1404248,1525294.18,8.62,Performance Bonus
195,1110,2025-01-18,893035,957958.64,7.27,Annual Increment
196,2955,2025-02-06,653878,708542.2,8.36,Salary Revision
197,2827,2024-05-29,638287,678243.77,6.26,Performance Bonus
198,1133,2024-03-07,1769564,1999961.23,13.02,Salary Revision
199,2445,2024-09-03,843491,1009405.68,19.67,Promotion
200,1214,2025-09-06,727066,793447.13,9.13,Market Adjustment
201,58,2024-07-27,1734822,1944388.5,12.08,Market Adjustment
202,187,2024-03-18,364349,409564.71,12.41,Promotion
203,2613,2024-06-01,1279447,1340092.79,4.74,Annual Increment
204,2352,2025-06-25,846302,939225.96,10.98,Performance Bonus
205,1396,2025-07-15,636638,760209.44,19.41,Market Adjustment
206,1957,2024-08-17,489258,572334.01,16.98,Performance Bonus
207,2015,2025-12-07,405361,457287.74,12.81,Annual Increment
208,622,2024-09-15,562890,657399.23,16.79,Market Adjustment
209,349,2025-08-04,770494,809095.75,5.01,Performance Bonus
210,2484,2024-03-25,1500168,1746795.62,16.44,Promotion
211,2141,2024-10-05,1047710,1159395.89,10.66,Performance Bonus
212,1218,2025-12-18,1484226,1778548.02,19.83,Market Adjustment
213,2330,2024-09-14,1552388,1614794.0,4.02,Annual Increment
214,852,2024-10-27,1561800,1664722.62,6.59,Annual Increment
215,644,2025-01-02,753033,797838.46,5.95,Annual Increment
216,642,2024-09-13,255611,281018.73,9.94,Salary Revision
217,1925,2025-05-01,860815,891373.93,3.55,Market Adjustment
218,2896,2024-11-01,842903,968917.0,14.95,Performance Bonus
219,292,2024-10-08,1691550,1809451.04,6.97,Market Adjustment
220,2561,2025-09-08,1486878,1698609.43,14.24,Promotion
221,1742,2025-08-07,490703,550863.19,12.26,Promotion
222,1089,2024-11-27,548291,571374.05,4.21,Promotion
223,1260,2025-02-20,1497897,1733516.2,15.73,Salary Revision
224,1183,2025-11-10,1170971,1230807.62,5.11,Market Adjustment
225,2867,2024-03-31,1094121,1302332.23,19.03,Salary Revision
226,2212,2025-07-09,1285563,1419775.78,10.44,Salary Revision
227,164,2024-05-21,1156029,1335097.89,15.49,Salary Revision
228,1026,2024-06-15,304242,318085.01,4.55,Salary Revision
229,2405,2024-11-25,293506,352177.85,19.99,Market Adjustment
230,2361,2025-01-15,334371,387770.05,15.97,Promotion
231,1928,2024-10-20,1338346,1526785.12,14.08,Market Adjustment
232,744,2025-03-01,1477525,1631335.35,10.41,Performance Bonus
233,374,2025-07-12,1235683,1345905.92,8.92,Market Adjustment
234,1316,2024-12-30,1655371,1734497.73,4.78,Promotion
235,1351,2025-12-14,1113282,1277936.41,14.79,Market Adjustment
236,2714,2024-12-22,1089809,1273223.85,16.83,Salary Revision
237,151,2024-05-02,1203839,1258011.75,4.5,Market Adjustment
238,1325,2024-05-28,493105,589211.16,19.49,Performance Bonus
239,2108,2025-03-13,252413,288205.16,14.18,Salary Revision
240,1893,2025-03-10,1116642,1160414.37,3.92,Salary Revision
241,1482,2025-09-15,1555757,1802500.06,15.86,Performance Bonus
242,212,2024-09-26,676892,727929.66,7.54,Promotion
243,1180,2025-07-02,1168796,1378828.64,17.97,Performance Bonus
244,498,2025-04-04,310543,371223.1,19.54,Salary Revision
245,981,2025-02-17,1738522,1837443.9,5.69,Salary Revision
246,57,2024-04-27,1408155,1548125.61,9.94,Promotion
247,465,2025-06-18,1217726,1450311.67,19.1,Promotion
248,2042,2025-12-25,1752826,1892350.95,7.96,Market Adjustment
249,1702,2024-12-12,1261874,1509958.43,19.66,Promotion
250,1871,2025-04-14,1406086,1482858.3,5.46,Promotion
251,2456,2024-05-07,1315858,1522316.12,15.69,Promotion
252,286,2024-04-19,829332,963186.18,16.14,Performance Bonus
253,1393,2025-07-09,1314803,1413939.15,7.54,Annual Increment
254,1159,2025-09-06,1772639,1915868.23,8.08,Salary Revision
255,2376,2024-07-09,1633996,1818964.35,11.32,Promotion
256,1830,2024-08-24,1379485,1534401.17,11.23,Market Adjustment
257,2261,2024-05-12,1389655,1520421.54,9.41,Market Adjustment
258,773,2025-04-01,1712760,1833680.86,7.06,Performance Bonus
259,957,2025-09-13,1111457,1153025.49,3.74,Performance Bonus
260,2889,2024-12-26,1049499,1149831.1,9.56,Promotion
261,2029,2024-09-22,327635,344508.2,5.15,Salary Revision
262,1360,2025-10-08,460479,542720.55,17.86,Performance Bonus
263,409,2025-12-14,1352999,1603033.22,18.48,Annual Increment
264,2960,2024-05-22,552315,607380.81,9.97,Promotion
265,307,2025-05-03,1234593,1435708.2,16.29,Market Adjustment
266,1387,2025-02-16,1557069,1787203.8,14.78,Annual Increment
267,1346,2025-05-11,1664230,1957300.9,17.61,Performance Bonus
268,1298,2025-07-08,1564493,1802608.83,15.22,Performance Bonus
269,2217,2025-08-20,325285,369198.47,13.5,Promotion
270,2586,2024-12-16,1685289,1999763.93,18.66,Promotion
271,371,2024-08-20,1160104,1387832.42,19.63,Annual Increment
272,1818,2024-05-05,598892,687528.02,14.8,Annual Increment
273,189,2025-04-17,930262,1084034.31,16.53,Market Adjustment
274,1469,2024-03-21,1036098,1143023.31,10.32,Promotion
275,2176,2025-04-17,1114135,1254738.84,12.62,Promotion
276,697,2025-07-06,617147,643931.18,4.34,Performance Bonus
277,2539,2025-02-23,1682637,1801935.96,7.09,Salary Revision
278,587,2025-07-23,736934,816817.65,10.84,Market Adjustment
279,1883,2024-11-22,785458,898092.68,14.34,Performance Bonus
280,1179,2025-03-29,1671053,1876425.41,12.29,Annual Increment
281,1810,2024-12-10,974703,1167596.72,19.79,Market Adjustment
282,2618,2024-07-23,1139840,1307852.42,14.74,Performance Bonus
283,1238,2025-07-31,667788,801278.82,19.99,Performance Bonus
284,437,2025-01-23,747456,818314.83,9.48,Market Adjustment
285,2355,2024-05-01,870489,1043542.21,19.88,Market Adjustment
286,90,2025-02-11,1630407,1789045.6,9.73,Annual Increment
287,2319,2025-03-18,1688225,1962223.92,16.23,Annual Increment
288,2484,2025-07-23,1291712,1513369.78,17.16,Market Adjustment
289,943,2025-08-20,1523107,1776399.69,16.63,Promotion
290,2608,2025-04-09,648735,736703.47,13.56,Promotion
291,2574,2024-11-02,453767,537078.62,18.36,Annual Increment
292,1266,2024-11-01,1174473,1216401.69,3.57,Market Adjustment
293,3000,2025-04-17,525590,549399.23,4.53,Market Adjustment
294,1339,2025-03-12,1121373,1188543.24,5.99,Promotion
295,2210,2025-07-27,1017258,1139532.41,12.02,Market Adjustment
296,674,2024-05-23,788905,935167.99,18.54,Performance Bonus
297,1209,2024-03-23,960337,1120425.18,16.67,Performance Bonus
298,309,2025-10-04,545188,631436.74,15.82,Promotion
299,2771,2024-09-04,1768792,2024559.32,14.46,Performance Bonus
300,2283,2025-06-16,1017085,1063260.66,4.54,Performance Bonus
301,58,2024-10-07,804609,902127.61,12.12,Performance Bonus
302,1510,2024-02-03,1661023,1922301.92,15.73,Market Adjustment
303,2395,2025-04-17,1049068,1227199.75,16.98,Market Adjustment
304,444,2024-10-27,1665234,1781300.81,6.97,Annual Increment
305,2538,2025-03-01,1427356,1549823.14,8.58,Salary Revision
306,907,2025-05-28,1608225,1673679.76,4.07,Performance Bonus
307,2872,2025-10-13,883738,1007814.82,14.04,Annual Increment
308,573,2025-12-18,345099,410978.4,19.09,Market Adjustment
309,2018,2025-02-06,493522,516470.77,4.65,Salary Revision
310,556,2025-01-03,1065049,1179115.75,10.71,Salary Revision
311,1717,2024-01-17,1481741,1713188.94,15.62,Promotion
312,1700,2024-08-24,1623470,1699448.4,4.68,Performance Bonus
313,2522,2025-03-28,1105881,1315556.04,18.96,Market Adjustment
314,135,2025-10-16,1697623,1855501.94,9.3,Performance Bonus
315,1822,2025-09-23,745164,875865.77,17.54,Annual Increment
316,2809,2025-09-23,1020357,1145452.77,12.26,Market Adjustment
317,249,2025-07-05,1084959,1168392.35,7.69,Annual Increment
318,1863,2024-07-02,442253,505362.5,14.27,Salary Revision
319,88,2024-04-27,356070,414394.27,16.38,Promotion
320,516,2024-11-22,1434005,1527071.92,6.49,Salary Revision
321,849,2025-12-25,1479734,1578432.26,6.67,Promotion
322,1346,2025-08-31,559443,651247.6,16.41,Salary Revision
323,12,2024-10-19,831487,977745.56,17.59,Promotion
324,533,2025-11-24,1382913,1483312.48,7.26,Promotion
325,451,2025-02-12,1636338,1926460.73,17.73,Promotion
326,61,2025-10-27,1001288,1165799.62,16.43,Promotion
327,2412,2024-08-02,928997,959375.2,3.27,Market Adjustment
328,215,2024-04-02,515831,596352.22,15.61,Salary Revision
329,466,2024-06-12,383290,425835.19,11.1,Market Adjustment
330,2103,2024-04-21,1495007,1567514.84,4.85,Salary Revision
331,908,2025-07-12,1539972,1597566.95,3.74,Salary Revision
332,1236,2025-05-15,1210584,1379339.41,13.94,Annual Increment
333,250,2025-03-16,1254497,1472779.48,17.4,Performance Bonus
334,2811,2024-05-14,476412,530389.48,11.33,Performance Bonus
335,302,2025-10-07,419429,454996.58,8.48,Promotion
336,270,2025-04-01,514642,554166.51,7.68,Salary Revision
337,2247,2025-10-12,1743492,1892211.87,8.53,Salary Revision
338,2174,2024-01-08,868445,961455.46,10.71,Salary Revision
339,1763,2024-12-24,457992,533469.08,16.48,Annual Increment
340,2682,2025-08-17,1615071,1904491.72,17.92,Salary Revision
341,2953,2025-01-22,700936,773202.5,10.31,Promotion
342,1695,2024-02-17,960791,1124798.02,17.07,Performance Bonus
343,1704,2024-06-10,1780108,1862348.99,4.62,Performance Bonus
344,1281,2025-08-23,1644832,1765398.19,7.33,Promotion
345,2814,2024-06-19,1244611,1296137.9,4.14,Annual Increment
346,382,2025-07-04,1155710,1209334.94,4.64,Market Adjustment
347,533,2024-01-03,1416794,1473749.12,4.02,Salary Revision
348,2301,2025-10-03,941317,1076772.52,14.39,Performance Bonus
349,1449,2024-07-02,1645320,1957930.8,19.0,Performance Bonus
350,2954,2025-08-18,357890,427535.39,19.46,Salary Revision
351,1280,2024-07-12,987455,1034457.86,4.76,Salary Revision
352,872,2024-09-12,574492,655840.07,14.16,Promotion
353,444,2025-12-26,984242,1155204.84,17.37,Market Adjustment
354,471,2024-01-24,834199,940642.79,12.76,Performance Bonus
355,2298,2024-12-17,1553849,1762530.92,13.43,Salary Revision
356,108,2024-11-26,1527154,1814106.24,18.79,Market Adjustment
357,119,2024-02-22,628359,676428.46,7.65,Market Adjustment
358,1392,2025-02-18,986149,1016719.62,3.1,Promotion
359,2320,2024-07-27,1628551,1788311.85,9.81,Promotion
360,2594,2025-03-09,314292,328623.72,4.56,Salary Revision
361,882,2024-08-05,1038936,1144284.11,10.14,Market Adjustment
362,645,2024-02-08,1026057,1111219.73,8.3,Market Adjustment
363,2325,2024-05-06,1500371,1566987.47,4.44,Annual Increment
364,638,2025-12-28,580112,671943.73,15.83,Annual Increment
365,2761,2025-09-19,421088,453217.01,7.63,Performance Bonus
366,1990,2025-02-06,1523130,1683210.96,10.51,Market Adjustment
367,883,2025-05-27,1324468,1389764.27,4.93,Performance Bonus
368,455,2025-01-28,844010,966644.65,14.53,Salary Revision
369,1994,2024-07-13,1355060,1549375.6,14.34,Annual Increment
370,904,2025-11-01,1078927,1291907.19,19.74,Annual Increment
371,32,2025-12-07,678706,733816.93,8.12,Promotion
372,563,2024-11-01,785863,848103.35,7.92,Annual Increment
373,32,2025-05-28,1293092,1496107.44,15.7,Promotion
374,530,2025-01-03,1047352,1173557.92,12.05,Promotion
375,2050,2025-07-25,1421728,1665838.7,17.17,Market Adjustment
376,296,2024-05-05,1082718,1273817.73,17.65,Annual Increment
377,1787,2025-03-30,289303,320605.58,10.82,Annual Increment
378,1283,2024-08-26,1457454,1607571.76,10.3,Performance Bonus
379,2907,2024-01-01,1592474,1753313.87,10.1,Annual Increment
380,1660,2025-07-30,293739,350812.49,19.43,Promotion
381,2532,2025-10-30,1214893,1423125.66,17.14,Market Adjustment
382,361,2025-02-08,1165850,1368241.56,17.36,Promotion
383,1785,2024-11-10,1484952,1630625.79,9.81,Annual Increment
384,1622,2024-06-03,900692,1041920.51,15.68,Promotion
385,1365,2024-02-15,602599,628510.76,4.3,Annual Increment
386,2174,2025-01-27,1319446,1402571.1,6.3,Market Adjustment
387,1439,2024-05-18,1775424,2117903.29,19.29,Promotion
388,968,2025-08-22,465596,491157.22,5.49,Promotion
389,711,2024-06-30,1513322,1598068.03,5.6,Annual Increment
390,726,2025-05-09,1566904,1745531.06,11.4,Salary Revision
391,2374,2025-05-12,1191422,1365131.33,14.58,Salary Revision
392,2634,2024-07-04,1582317,1895141.07,19.77,Market Adjustment
393,2570,2025-09-09,912991,963844.6,5.57,Annual Increment
394,1921,2024-07-26,1177377,1339030.86,13.73,Market Adjustment
395,2423,2024-06-30,367801,400829.53,8.98,Annual Increment
396,1272,2024-10-05,1218344,1348463.14,10.68,Annual Increment
397,1511,2024-02-24,852044,888681.89,4.3,Annual Increment
398,2520,2025-03-26,1495875,1669695.68,11.62,Performance Bonus
399,2378,2024-08-10,1412485,1683964.62,19.22,Annual Increment
400,1843,2025-05-20,1448850,1652848.08,14.08,Market Adjustment
401,2479,2025-02-17,1247466,1391174.08,11.52,Annual Increment
402,1846,2025-03-01,467059,545478.21,16.79,Market Adjustment
403,2926,2025-03-09,426851,476280.35,11.58,Promotion
404,161,2024-05-04,769556,885220.27,15.03,Performance Bonus
405,2147,2025-01-27,1346282,1526279.9,13.37,Market Adjustment
406,1528,2024-03-28,843270,924139.59,9.59,Market Adjustment
407,2781,2024-04-06,1503857,1562357.04,3.89,Market Adjustment
408,270,2024-07-23,941411,984810.05,4.61,Performance Bonus
409,1164,2025-03-25,778473,897579.37,15.3,Salary Revision
410,616,2024-11-06,949110,990775.93,4.39,Promotion
411,1433,2025-07-25,900603,1075770.28,19.45,Performance Bonus
412,529,2025-10-15,1497891,1723323.6,15.05,Annual Increment
413,1269,2024-09-25,1422144,1555825.54,9.4,Market Adjustment
414,524,2024-05-09,1655335,1902807.58,14.95,Salary Revision
415,383,2024-08-07,1604812,1835904.93,14.4,Salary Revision
416,1483,2025-08-05,288232,314634.05,9.16,Promotion
417,878,2024-06-13,966664,1151393.49,19.11,Performance Bonus
418,787,2025-06-18,725095,870114.0,20.0,Promotion
419,317,2024-07-16,870320,1021407.55,17.36,Annual Increment
420,2080,2024-10-10,1381981,1619681.73,17.2,Salary Revision
421,155,2025-05-24,1638166,1781014.08,8.72,Salary Revision
422,537,2025-01-29,1502516,1643752.5,9.4,Promotion
423,741,2024-12-11,1703002,1977355.62,16.11,Promotion
424,2954,2025-06-13,1167867,1211545.23,3.74,Market Adjustment
425,2771,2024-03-27,1759080,1882919.23,7.04,Performance Bonus
426,2501,2025-01-27,847537,981363.09,15.79,Performance Bonus
427,959,2025-12-28,1369902,1466754.07,7.07,Performance Bonus
428,795,2024-07-10,1021418,1169830.04,14.53,Salary Revision
429,1805,2025-09-17,1218213,1414101.65,16.08,Performance Bonus
430,2060,2024-10-09,1356163,1493406.7,10.12,Promotion
431,818,2024-12-08,1518071,1599287.8,5.35,Market Adjustment
432,214,2025-03-01,1594649,1772771.29,11.17,Market Adjustment
433,2272,2025-05-15,465146,535336.53,15.09,Salary Revision
434,511,2025-08-21,847820,885378.43,4.43,Promotion
435,1118,2025-08-28,1192290,1411552.13,18.39,Promotion
436,1792,2024-04-07,442337,526779.13,19.09,Promotion
437,1848,2025-12-30,983133,1168158.63,18.82,Performance Bonus
