leave_id,employee_id,leave_type,start_date,end_date,total_leave_days,leave_reason,approval_status,approved_by
22,2395,Emergency Leave,2024-07-30,2024-08-08,10,Marriage,Approved,Laksh Chopra
23,567,Maternity Leave,2025-07-11,2025-07-18,8,Vacation,Approved,Xavier Amble
24,450,Sick Leave,2025-08-18,2025-08-20,3,Child Care,Approved,Qadim Rout
25,2443,Annual Leave,2024-01-25,2024-01-31,7,Higher Education,Approved,Bachittar Behl
26,2168,Casual Leave,2024-08-28,2024-09-05,9,Vacation,Approved,Hemal Subramanian
27,2787,Paternity Leave,2024-03-10,2024-03-11,2,Personal Work,Approved,Urvashi Salvi
28,2626,Casual Leave,2024-12-23,2024-12-24,2,Family Emergency,Approved,Chasmum Borra
29,1859,Annual Leave,2025-04-10,2025-04-14,5,Family Emergency,Rejected,
30,2080,Annual Leave,2024-03-03,2024-03-07,5,Marriage,Approved,Triveni Bahri
31,627,Casual Leave,2025-07-30,2025-08-01,3,Vacation,Approved,Amruta Desai
32,2454,Casual Leave,2025-06-24,2025-07-01,8,Religious Festival,Approved,Quincy Gandhi
33,1260,Sick Leave,2024-09-22,2024-09-22,1,Medical Treatment,Approved,Azaan Sachar
34,351,Paternity Leave,2025-05-19,2025-05-26,8,Family Emergency,Approved,Eshana Savant
35,526,Paternity Leave,2025-04-01,2025-04-08,8,Family Emergency,Pending,
36,1086,Maternity Leave,2025-09-07,2025-09-16,10,Marriage,Approved,Qarin Shroff
37,2209,Unpaid Leave,2025-06-30,2025-07-03,4,Child Care,Approved,Balendra Mittal
38,2752,Paternity Leave,2024-11-02,2024-11-07,6,Higher Education,Approved,Ekalinga Warrior
39,496,Sick Leave,2025-01-30,2025-02-02,4,Vacation,Approved,Kashvi Gola
40,2410,Maternity Leave,2024-04-07,2024-04-10,4,Vacation,Approved,Jai Peri
41,291,Paternity Leave,2025-09-30,2025-09-30,1,Vacation,Approved,Vinaya Deshmukh
42,1354,Annual Leave,2024-07-02,2024-07-10,9,Higher Education,Approved,Mohini Mital
43,878,Maternity Leave,2025-09-14,2025-09-16,3,Higher Education,Approved,Ronith Sridhar
44,996,Unpaid Leave,2025-08-24,2025-08-31,8,Marriage,Approved,Raksha Banik
45,387,Annual Leave,2024-06-13,2024-06-19,7,Child Care,Approved,Rishi Sarna
46,1913,Unpaid Leave,2024-03-27,2024-03-27,1,Medical Treatment,Approved,Yashodhara Parmer
47,249,Emergency Leave,2024-02-03,2024-02-08,6,Medical Treatment,Approved,Bhavani Dash
48,1019,Sick Leave,2025-12-01,2025-12-04,4,Family Emergency,Approved,Benjamin Tara
49,1729,Sick Leave,2025-01-28,2025-02-01,5,Medical Treatment,Approved,Rayaan Sawhney
50,1816,Unpaid Leave,2025-05-08,2025-05-16,9,Vacation,Approved,Luke Hari
51,383,Unpaid Leave,2024-04-08,2024-04-11,4,Higher Education,Approved,Bhavani Agarwal
52,1972,Sick Leave,2025-02-22,2025-02-28,7,Family Emergency,Pending,
53,1553,Annual Leave,2025-06-07,2025-06-13,7,Higher Education,Approved,Amol Parmer
54,1169,Emergency Leave,2024-12-16,2024-12-24,9,Higher Education,Approved,Peter Loke
55,635,Sick Leave,2025-01-05,2025-01-09,5,Vacation,Approved,Ati Krishna
56,2373,Paternity Leave,2024-02-22,2024-03-01,9,Religious Festival,Approved,Aadi Trivedi
57,235,Annual Leave,2024-04-21,2024-04-30,10,Family Emergency,Approved,Charita Bir
58,233,Maternity Leave,2024-10-23,2024-10-24,2,Medical Treatment,Approved,Hemal Gandhi
59,2438,Annual Leave,2025-11-27,2025-11-30,4,Marriage,Approved,Frado Koshy
60,2372,Maternity Leave,2025-02-14,2025-02-14,1,Child Care,Approved,Nikita Choudhary
61,2693,Maternity Leave,2024-09-05,2024-09-14,10,Personal Work,Approved,Yochana Verma
62,837,Paternity Leave,2025-11-20,2025-11-25,6,Child Care,Approved,Rajata Patel
63,537,Paternity Leave,2024-02-04,2024-02-08,5,Medical Treatment,Approved,Raksha Krish
64,39,Emergency Leave,2024-11-18,2024-11-27,10,Medical Treatment,Rejected,
65,301,Maternity Leave,2025-10-04,2025-10-07,4,Family Emergency,Approved,Tanveer Patil
66,1430,Annual Leave,2025-11-05,2025-11-08,4,Family Emergency,Approved,Odika Randhawa
67,1795,Unpaid Leave,2025-09-25,2025-10-03,9,Vacation,Approved,Dakshesh Choudhry
68,2736,Unpaid Leave,2024-09-13,2024-09-21,9,Medical Treatment,Approved,Shaurya Johal
69,551,Casual Leave,2025-05-08,2025-05-09,2,Family Emergency,Pending,
70,1116,Casual Leave,2024-08-22,2024-08-31,10,Religious Festival,Approved,Rohan Golla
71,834,Paternity Leave,2025-11-11,2025-11-15,5,Personal Work,Approved,Rushil Setty
72,209,Annual Leave,2025-03-02,2025-03-08,7,Vacation,Approved,Kamala Master
73,15,Casual Leave,2024-07-02,2024-07-04,3,Personal Work,Approved,Alexander Bassi
74,662,Paternity Leave,2025-09-27,2025-10-04,8,Child Care,Approved,Kevin Pathak
75,2298,Annual Leave,2025-08-04,2025-08-05,2,Family Emergency,Approved,Urvashi Morar
76,2235,Annual Leave,2024-06-29,2024-07-04,6,Family Emergency,Approved,Madhavi Srinivasan
77,1761,Sick Leave,2025-09-01,2025-09-01,1,Vacation,Approved,Yochana Buch
78,1466,Sick Leave,2024-07-01,2024-07-04,4,Religious Festival,Approved,Patrick Kota
79,2294,Unpaid Leave,2025-07-27,2025-08-02,7,Family Emergency,Rejected,
80,970,Unpaid Leave,2024-10-23,2024-10-25,3,Family Emergency,Rejected,
81,1689,Annual Leave,2024-09-23,2024-09-25,3,Religious Festival,Approved,Yutika Agrawal
82,1687,Unpaid Leave,2025-04-07,2025-04-10,4,Medical Treatment,Approved,Aarna Murthy
83,1567,Unpaid Leave,2024-10-11,2024-10-11,1,Marriage,Approved,Dhriti Sharaf
84,818,Unpaid Leave,2024-03-06,2024-03-13,8,Marriage,Approved,Brijesh Karan
85,914,Annual Leave,2024-04-06,2024-04-09,4,Personal Work,Approved,Arya Sandal
86,285,Unpaid Leave,2024-03-20,2024-03-24,5,Child Care,Approved,Deepa Gola
87,2784,Unpaid Leave,2024-08-24,2024-09-01,9,Vacation,Approved,Vrishti Lalla
88,473,Casual Leave,2024-12-16,2024-12-18,3,Personal Work,Approved,Aditya Prabhakar
89,157,Annual Leave,2024-04-29,2024-05-08,10,Religious Festival,Approved,Chameli Shukla
90,1788,Maternity Leave,2024-07-29,2024-08-06,9,Marriage,Approved,Jason Mutti
91,1044,Annual Leave,2025-03-01,2025-03-07,7,Marriage,Approved,Shivani Yogi
92,1492,Emergency Leave,2025-12-30,2025-12-31,2,Religious Festival,Pending,
93,2553,Casual Leave,2024-09-11,2024-09-12,2,Personal Work,Approved,Gunbir Varty
94,2078,Casual Leave,2025-07-21,2025-07-27,7,Personal Work,Approved,Falguni Chokshi
95,2271,Sick Leave,2025-10-03,2025-10-06,4,Child Care,Approved,Jackson Jain
96,2775,Paternity Leave,2024-02-29,2024-03-02,3,Personal Work,Approved,Tejas Kapur
97,1664,Maternity Leave,2024-08-03,2024-08-03,1,Marriage,Approved,Anya Lalla
98,1761,Unpaid Leave,2025-05-06,2025-05-15,10,Religious Festival,Approved,Samarth Goda
99,1905,Emergency Leave,2024-06-05,2024-06-12,8,Higher Education,Approved,Kashish Varma
100,696,Paternity Leave,2025-11-24,2025-11-25,2,Religious Festival,Approved,Om Konda
101,383,Unpaid Leave,2025-11-10,2025-11-13,4,Marriage,Approved,Ekaja Tara
102,816,Sick Leave,2024-12-21,2024-12-21,1,Higher Education,Approved,Chandani Virk
103,2504,Unpaid Leave,2025-10-02,2025-10-03,2,Marriage,Approved,Ishaan Sant
104,2943,Paternity Leave,2024-07-30,2024-08-05,7,Marriage,Approved,Dayita Merchant
105,605,Paternity Leave,2025-10-18,2025-10-18,1,Medical Treatment,Pending,
106,1742,Sick Leave,2024-06-21,2024-06-23,3,Higher Education,Approved,Gayathri Walla
107,206,Maternity Leave,2024-12-04,2024-12-07,4,Medical Treatment,Pending,
108,1870,Sick Leave,2024-02-28,2024-03-06,8,Religious Festival,Approved,Nikita Bhatt
109,1813,Maternity Leave,2024-07-30,2024-08-07,9,Higher Education,Approved,Sachi Oommen
110,652,Paternity Leave,2025-08-17,2025-08-24,8,Marriage,Approved,Sarthak Bava
111,2612,Casual Leave,2024-09-04,2024-09-12,9,Marriage,Approved,Adweta Ganguly
112,1125,Emergency Leave,2025-07-01,2025-07-02,2,Marriage,Approved,Neelima Bail
113,1113,Casual Leave,2024-09-06,2024-09-11,6,Medical Treatment,Pending,
114,567,Sick Leave,2024-07-29,2024-08-01,4,Family Emergency,Approved,Rachit Prabhakar
115,2894,Sick Leave,2025-08-05,2025-08-06,2,Religious Festival,Approved,Ridhi Kamdar
116,2223,Emergency Leave,2025-10-25,2025-10-31,7,Child Care,Approved,Ansh Gulati
117,1596,Unpaid Leave,2024-11-05,2024-11-14,10,Vacation,Pending,
118,2359,Emergency Leave,2024-08-25,2024-09-01,8,Religious Festival,Approved,Ekantika Saran
119,1224,Unpaid Leave,2024-12-03,2024-12-09,7,Child Care,Approved,Ranveer Khanna
120,2205,Paternity Leave,2024-06-06,2024-06-14,9,Marriage,Approved,Nilima Krishna
121,2000,Sick Leave,2025-06-17,2025-06-21,5,Vacation,Approved,Zilmil Andra
122,1593,Casual Leave,2025-03-12,2025-03-18,7,Higher Education,Approved,Nachiket Ramanathan
123,523,Maternity Leave,2025-02-18,2025-02-26,9,Child Care,Approved,Urishilla Morar
124,2425,Maternity Leave,2024-06-30,2024-06-30,1,Child Care,Approved,Dakshesh Prakash
125,556,Unpaid Leave,2025-10-18,2025-10-25,8,Personal Work,Approved,Unnati Mander
126,1553,Casual Leave,2024-06-26,2024-06-29,4,Religious Festival,Approved,Dayita Naidu
127,1553,Casual Leave,2024-08-21,2024-08-27,7,Medical Treatment,Approved,Samarth Tara
128,1927,Annual Leave,2025-05-07,2025-05-15,9,Religious Festival,Approved,Kavya Golla
129,919,Paternity Leave,2025-10-18,2025-10-19,2,Vacation,Approved,Devika Sinha
130,128,Sick Leave,2025-08-13,2025-08-16,4,Family Emergency,Approved,Praneel Kurian
131,978,Sick Leave,2024-03-23,2024-03-30,8,Marriage,Approved,Shaurya Sandhu
132,1905,Paternity Leave,2025-07-13,2025-07-17,5,Family Emergency,Approved,Warjas Divan
133,2482,Maternity Leave,2025-06-29,2025-06-30,2,Family Emergency,Approved,Chakradev Bhargava
134,1275,Annual Leave,2024-10-26,2024-11-04,10,Personal Work,Approved,Yashoda Subramanian
135,2359,Paternity Leave,2025-10-09,2025-10-15,7,Marriage,Approved,Agastya Keer
136,312,Maternity Leave,2025-05-08,2025-05-11,4,Personal Work,Approved,Chanchal Mandal
137,2803,Maternity Leave,2025-12-13,2025-12-14,2,Vacation,Approved,Bachittar Gokhale
138,1423,Maternity Leave,2024-07-12,2024-07-18,7,Medical Treatment,Approved,Charita Patil
139,2073,Paternity Leave,2025-12-30,2026-01-04,6,Child Care,Approved,Yamini Lalla
140,2008,Annual Leave,2024-11-22,2024-11-28,7,Higher Education,Rejected,
141,2898,Sick Leave,2025-09-04,2025-09-10,7,Personal Work,Approved,Abhiram Narang
142,2523,Unpaid Leave,2024-06-08,2024-06-16,9,Higher Education,Approved,Hritik Chaudhuri
143,1785,Unpaid Leave,2024-04-11,2024-04-20,10,Marriage,Approved,Mohini Purohit
144,355,Casual Leave,2025-09-18,2025-09-25,8,Higher Education,Approved,Nirja Koshy
145,2335,Maternity Leave,2025-12-05,2025-12-11,7,Higher Education,Approved,Janaki Mand
146,1332,Sick Leave,2025-12-28,2026-01-04,8,Personal Work,Approved,Qabil Khanna
147,1395,Casual Leave,2025-11-18,2025-11-27,10,Personal Work,Approved,Kritika Khosla
148,2277,Annual Leave,2025-06-08,2025-06-16,9,Medical Treatment,Pending,
149,989,Paternity Leave,2024-12-30,2025-01-05,7,Marriage,Approved,Aahana Bawa
150,2829,Emergency Leave,2024-05-21,2024-05-28,8,Vacation,Approved,Harshil Chauhan
151,382,Casual Leave,2024-09-09,2024-09-12,4,Marriage,Approved,Lipika Anand
152,1255,Paternity Leave,2024-01-19,2024-01-28,10,Religious Festival,Approved,Brijesh Dash
153,1743,Paternity Leave,2025-11-27,2025-12-05,9,Higher Education,Approved,Farhan Peri
154,1110,Casual Leave,2024-12-15,2024-12-19,5,Marriage,Approved,Neha Nigam
155,1293,Annual Leave,2024-02-29,2024-03-08,9,Family Emergency,Pending,
156,785,Sick Leave,2025-06-14,2025-06-21,8,Personal Work,Approved,Vedika Mannan
157,412,Unpaid Leave,2025-06-28,2025-07-01,4,Religious Festival,Approved,Hamsini Kapadia
158,735,Casual Leave,2025-12-24,2025-12-24,1,Family Emergency,Approved,Aditya Nagy
159,1124,Annual Leave,2024-06-16,2024-06-16,1,Family Emergency,Approved,Qushi Vaidya
160,2613,Unpaid Leave,2024-03-23,2024-03-30,8,Vacation,Approved,Rishi Bail
161,2352,Casual Leave,2025-06-19,2025-06-26,8,Religious Festival,Approved,Udant Mittal
162,756,Annual Leave,2025-08-21,2025-08-25,5,Higher Education,Pending,
163,468,Unpaid Leave,2025-09-28,2025-09-29,2,Medical Treatment,Approved,Idika Palan
164,2364,Paternity Leave,2025-06-08,2025-06-08,1,Personal Work,Approved,Omisha Lata
165,349,Sick Leave,2025-10-24,2025-10-25,2,Child Care,Approved,Oscar Prashad
166,2484,Maternity Leave,2025-03-09,2025-03-18,10,Child Care,Approved,Quincy Narayan
167,1846,Emergency Leave,2024-05-15,2024-05-19,5,Child Care,Approved,Matthew Ganesh
168,1251,Maternity Leave,2025-09-11,2025-09-20,10,Medical Treatment,Approved,Alexander Chacko
169,852,Paternity Leave,2024-12-06,2024-12-09,4,Medical Treatment,Approved,Divya Sharma
170,644,Sick Leave,2025-09-27,2025-09-29,3,Family Emergency,Approved,Vasudha Bhatt
171,11,Emergency Leave,2024-12-21,2024-12-28,8,Higher Education,Approved,Vritti Sandal
172,1193,Annual Leave,2025-09-24,2025-09-27,4,Personal Work,Approved,Nilima Korpal
173,2880,Unpaid Leave,2025-03-05,2025-03-12,8,Marriage,Approved,Sudiksha Nagar
174,1084,Unpaid Leave,2025-11-01,2025-11-10,10,Marriage,Approved,Ayush Nagy
175,1742,Annual Leave,2025-10-21,2025-10-29,9,Family Emergency,Approved,Dayita Ben
176,1089,Unpaid Leave,2025-12-10,2025-12-12,3,Family Emergency,Approved,Jackson Batta
177,1260,Maternity Leave,2025-06-30,2025-07-09,10,Higher Education,Pending,
178,510,Emergency Leave,2024-02-19,2024-02-23,5,Personal Work,Approved,Amara Raju
179,2050,Maternity Leave,2025-08-13,2025-08-20,8,Vacation,Approved,Vanya Vyas
180,1770,Paternity Leave,2024-01-11,2024-01-16,6,Vacation,Approved,Lakshmi Shah
181,375,Sick Leave,2024-11-17,2024-11-26,10,Vacation,Approved,Nachiket Ramakrishnan
182,2754,Unpaid Leave,2024-10-14,2024-10-18,5,Family Emergency,Approved,Ijaya Wali
183,1928,Maternity Leave,2024-03-07,2024-03-14,8,Family Emergency,Pending,
184,2398,Emergency Leave,2024-04-29,2024-05-06,8,Higher Education,Rejected,
185,1426,Emergency Leave,2024-03-10,2024-03-15,6,Medical Treatment,Approved,Veda Borah
186,659,Casual Leave,2024-05-20,2024-05-26,7,Personal Work,Approved,Bina Saraf
187,2714,Emergency Leave,2024-03-16,2024-03-24,9,Medical Treatment,Approved,Ridhi Mukhopadhyay
188,1289,Casual Leave,2024-11-23,2024-11-28,6,Child Care,Approved,Sara Mandal
189,2108,Unpaid Leave,2025-07-22,2025-07-22,1,Higher Education,Approved,Sarthak Kurian
190,1693,Annual Leave,2025-03-08,2025-03-11,4,Higher Education,Approved,Radha Dar
191,2562,Emergency Leave,2025-06-26,2025-06-26,1,Family Emergency,Approved,Ekavir Hayer
192,1180,Emergency Leave,2024-12-12,2024-12-19,8,Marriage,Approved,Qushi Brahmbhatt
193,2908,Sick Leave,2025-03-03,2025-03-07,5,Child Care,Approved,Mohini Sarma
194,382,Sick Leave,2024-09-05,2024-09-06,2,Medical Treatment,Approved,Jyoti Chanda
195,2654,Unpaid Leave,2025-05-28,2025-05-30,3,Personal Work,Approved,Wyatt Setty
196,2085,Paternity Leave,2025-05-26,2025-05-30,5,Higher Education,Approved,Ishanvi Bhagat
197,1935,Sick Leave,2024-05-30,2024-06-06,8,Child Care,Approved,Bhavani Kapur
198,781,Maternity Leave,2024-05-19,2024-05-27,9,Family Emergency,Approved,Jeevika Nagarajan
199,286,Casual Leave,2025-07-07,2025-07-13,7,Personal Work,Approved,Dalaja Bumb
200,11,Casual Leave,2024-09-17,2024-09-21,5,Higher Education,Approved,Nisha Bains
201,609,Emergency Leave,2024-03-25,2024-04-02,9,Religious Festival,Approved,Vamakshi Choudhury
202,2261,Unpaid Leave,2025-10-08,2025-10-16,9,Religious Festival,Approved,Vivaan Ray
203,773,Paternity Leave,2025-12-10,2025-12-13,4,Marriage,Approved,Zaid Chowdhury
204,1683,Annual Leave,2024-03-16,2024-03-21,6,Child Care,Approved,Hemani Shetty
205,1582,Paternity Leave,2025-05-27,2025-05-29,3,Vacation,Approved,Wakeeta Loyal
206,518,Maternity Leave,2024-01-03,2024-01-12,10,Medical Treatment,Approved,Chakrika Brar
207,1804,Annual Leave,2024-07-27,2024-08-04,9,Vacation,Pending,
208,2960,Sick Leave,2025-07-29,2025-08-04,7,Family Emergency,Approved,Samesh Dhingra
209,307,Emergency Leave,2024-11-20,2024-11-24,5,Child Care,Approved,Ikbal Batra
210,2662,Annual Leave,2024-07-24,2024-07-29,6,Child Care,Approved,Kala Kunda
211,1298,Paternity Leave,2025-04-04,2025-04-11,8,Vacation,Approved,Tristan Gade
212,2530,Annual Leave,2024-07-16,2024-07-19,4,Personal Work,Approved,Vincent Sanghvi
213,932,Paternity Leave,2025-04-01,2025-04-02,2,Medical Treatment,Approved,Aarini Sunder
214,2596,Paternity Leave,2025-11-11,2025-11-12,2,Personal Work,Approved,Chaitanya Ratta
215,119,Annual Leave,2025-02-17,2025-02-22,6,Personal Work,Approved,Tarak Balasubramanian
216,1469,Casual Leave,2024-01-16,2024-01-22,7,Child Care,Approved,Unnati Pandya
217,2319,Paternity Leave,2024-07-07,2024-07-09,3,Medical Treatment,Approved,Hiral Narang
218,2497,Unpaid Leave,2025-03-29,2025-04-04,7,Marriage,Approved,Bhanumati Goel
219,2039,Maternity Leave,2024-01-04,2024-01-06,3,Personal Work,Approved,Jai Varkey
220,1883,Casual Leave,2024-07-14,2024-07-14,1,Higher Education,Pending,
221,1179,Paternity Leave,2024-08-10,2024-08-18,9,Higher Education,Approved,Udant Deol
222,1416,Maternity Leave,2024-12-23,2024-12-27,5,Child Care,Approved,Gavin Reddy
223,2828,Casual Leave,2025-09-23,2025-09-30,8,Marriage,Approved,Krish Bali
224,1576,Unpaid Leave,2024-05-08,2024-05-15,8,Child Care,Approved,Vasudha Anand
225,2343,Casual Leave,2025-11-21,2025-11-30,10,Personal Work,Approved,Wahab Sandhu
226,90,Unpaid Leave,2025-04-14,2025-04-20,7,Vacation,Approved,Yochana Ahuja
227,2484,Paternity Leave,2024-06-04,2024-06-11,8,Personal Work,Approved,Yashvi Chauhan
228,943,Maternity Leave,2025-04-30,2025-05-05,6,Marriage,Approved,Unnati Ben
229,2544,Casual Leave,2024-09-16,2024-09-18,3,Vacation,Approved,Jalsa Prakash
230,1266,Unpaid Leave,2025-04-11,2025-04-18,8,Religious Festival,Approved,Shaurya Pradhan
231,3000,Sick Leave,2025-02-23,2025-02-24,2,Religious Festival,Pending,
232,1702,Sick Leave,2025-04-16,2025-04-19,4,Religious Festival,Approved,Chakradhar Sidhu
233,2175,Maternity Leave,2024-02-02,2024-02-06,5,Personal Work,Approved,Imaran Rana
234,1974,Unpaid Leave,2025-08-02,2025-08-06,5,Religious Festival,Approved,Michael Raman
235,472,Emergency Leave,2025-05-27,2025-05-28,2,Marriage,Approved,Arin Kurian
236,2771,Paternity Leave,2025-07-27,2025-08-02,7,Religious Festival,Rejected,
237,370,Unpaid Leave,2024-09-26,2024-10-02,7,Medical Treatment,Approved,Kevin Venkataraman
238,1863,Casual Leave,2024-10-13,2024-10-17,5,Religious Festival,Approved,Ganga Vig
239,444,Paternity Leave,2025-11-29,2025-12-02,4,Religious Festival,Approved,Aahana Bobal
240,2499,Sick Leave,2025-09-25,2025-09-26,2,Higher Education,Approved,Udant Loyal
241,2872,Casual Leave,2024-11-16,2024-11-22,7,Vacation,Approved,Jeet Ranganathan
242,153,Casual Leave,2024-07-18,2024-07-25,8,Marriage,Approved,Chaman Bali
243,2202,Sick Leave,2025-07-31,2025-08-06,7,Child Care,Approved,Gunbir Chawla
244,2406,Paternity Leave,2024-02-29,2024-03-02,3,Medical Treatment,Pending,
245,2005,Maternity Leave,2025-10-05,2025-10-11,7,Personal Work,Pending,
246,135,Paternity Leave,2025-07-18,2025-07-23,6,Higher Education,Approved,Daniel Kurian
247,968,Unpaid Leave,2024-01-12,2024-01-17,6,Religious Festival,Approved,Harish Thaker
248,2231,Paternity Leave,2024-10-07,2024-10-12,6,Personal Work,Approved,Priya Konda
249,778,Annual Leave,2024-06-24,2024-07-01,8,Marriage,Approved,Samuel Lanka
250,2629,Paternity Leave,2024-11-01,2024-11-10,10,Vacation,Rejected,
251,1367,Sick Leave,2024-03-23,2024-03-25,3,Marriage,Approved,Ubika Bajwa
252,282,Unpaid Leave,2025-03-31,2025-04-08,9,Marriage,Approved,Yoshita Biswas
253,955,Casual Leave,2024-02-02,2024-02-04,3,Vacation,Approved,Nidra Vohra
254,1136,Unpaid Leave,2025-01-16,2025-01-18,3,Personal Work,Rejected,
255,715,Annual Leave,2025-08-29,2025-08-29,1,Religious Festival,Approved,Imaran Gill
256,975,Maternity Leave,2025-05-15,2025-05-20,6,Personal Work,Approved,Jasmit Oak
257,215,Sick Leave,2024-03-16,2024-03-22,7,Medical Treatment,Approved,Ekiya Gole
258,1951,Emergency Leave,2024-05-20,2024-05-25,6,Medical Treatment,Approved,Chameli Mangat
259,1852,Maternity Leave,2025-01-04,2025-01-07,4,Vacation,Pending,
260,2979,Unpaid Leave,2025-12-04,2025-12-12,9,Vacation,Approved,Krishna Nagarajan
261,250,Emergency Leave,2025-03-05,2025-03-11,7,Medical Treatment,Approved,Jalsa Bhatnagar
262,2009,Paternity Leave,2024-04-16,2024-04-23,8,Medical Treatment,Approved,Samarth Kata
263,1320,Maternity Leave,2024-06-05,2024-06-07,3,Personal Work,Approved,Noah Saraf
264,2558,Paternity Leave,2025-12-10,2025-12-19,10,Religious Festival,Approved,Deepa Wali
265,1561,Maternity Leave,2025-05-20,2025-05-28,9,Child Care,Approved,Hitesh Bir
266,407,Unpaid Leave,2024-09-18,2024-09-19,2,Marriage,Approved,Charles Devan
267,1762,Emergency Leave,2024-05-19,2024-05-22,4,Higher Education,Approved,Yug Sampath
268,1634,Emergency Leave,2024-11-23,2024-11-24,2,Religious Festival,Approved,Chaitaly Balasubramanian
269,2725,Casual Leave,2024-12-04,2024-12-09,6,Higher Education,Pending,
270,275,Annual Leave,2025-04-14,2025-04-15,2,Medical Treatment,Approved,Lucky Oommen
271,1527,Unpaid Leave,2024-11-04,2024-11-06,3,Religious Festival,Approved,Abha Sastry
272,2745,Annual Leave,2025-04-16,2025-04-22,7,Child Care,Approved,Madhav Lad
273,2954,Annual Leave,2024-07-22,2024-07-26,5,Religious Festival,Approved,Gaurav Sundaram
274,425,Maternity Leave,2025-11-25,2025-12-03,9,Higher Education,Approved,Warjas Srinivas
275,919,Unpaid Leave,2024-08-31,2024-09-01,2,Religious Festival,Approved,Anmol Dani
276,471,Unpaid Leave,2024-07-26,2024-07-30,5,Child Care,Approved,Bhavna Om
277,2298,Unpaid Leave,2024-07-17,2024-07-26,10,Vacation,Approved,Damyanti Gala
278,2495,Paternity Leave,2025-03-08,2025-03-12,5,Personal Work,Approved,Mason Kala
279,2879,Unpaid Leave,2024-02-24,2024-02-28,5,Religious Festival,Pending,
280,26,Sick Leave,2025-07-08,2025-07-10,3,Child Care,Approved,Ethan Rama
281,286,Sick Leave,2025-11-12,2025-11-12,1,Marriage,Approved,Eesha Sachar
282,1541,Emergency Leave,2025-05-16,2025-05-23,8,Religious Festival,Approved,Oliver Dhillon
283,1277,Paternity Leave,2025-04-02,2025-04-07,6,Medical Treatment,Approved,Azad Dasgupta
284,216,Sick Leave,2025-04-11,2025-04-13,3,Vacation,Approved,Irya Nagi
285,2761,Annual Leave,2025-03-27,2025-03-31,5,Child Care,Approved,Kritika Toor
286,1990,Maternity Leave,2025-04-04,2025-04-11,8,Marriage,Approved,Theodore Deo
287,2099,Annual Leave,2024-10-11,2024-10-16,6,Personal Work,Approved,Azad Padmanabhan
288,2778,Paternity Leave,2024-06-07,2024-06-16,10,Personal Work,Approved,Aashi Vaidya
289,187,Sick Leave,2024-06-29,2024-07-05,7,Vacation,Rejected,
290,32,Sick Leave,2024-04-17,2024-04-21,5,Family Emergency,Pending,
291,1047,Casual Leave,2025-07-24,2025-07-29,6,Higher Education,Approved,Keya Kohli
292,1764,Sick Leave,2025-12-16,2025-12-18,3,Marriage,Approved,Suhani Anne
293,2050,Maternity Leave,2025-02-28,2025-03-05,6,Vacation,Approved,Neel Shroff
294,1787,Annual Leave,2025-01-20,2025-01-27,8,Religious Festival,Pending,
295,2359,Emergency Leave,2024-02-11,2024-02-20,10,Child Care,Approved,Kashvi Sahni
296,1186,Annual Leave,2024-11-07,2024-11-13,7,Religious Festival,Approved,Unni Khosla
297,704,Unpaid Leave,2024-11-20,2024-11-29,10,Religious Festival,Approved,Patrick Raja
