promotion_id,employee_id,promotion_date,old_designation,new_designation,salary_increment_percent,promotion_reason
45,87,2025-10-20,Junior Executive,Lead Analyst,18.0,Annual Promotion
46,30,2025-08-16,Senior Analyst,Senior Executive,9.21,Outstanding Performance
47,1354,2025-08-05,Executive,Team Lead,9.2,Annual Promotion
48,1989,2024-06-04,Senior Executive,Senior Manager,11.64,Annual Promotion
49,2361,2024-12-21,Associate,Manager,16.04,Role Expansion
50,387,2024-04-08,Assistant Manager,Senior Executive,9.65,Role Expansion
51,1684,2024-03-15,Senior Executive,Assistant Manager,15.94,Outstanding Performance
52,2647,2025-12-13,Associate,Senior Manager,9.67,Role Expansion
53,448,2024-12-29,Associate,Lead Analyst,12.23,Annual Promotion
54,575,2025-11-29,Senior Analyst,Assistant Manager,15.17,Leadership Development
55,309,2025-09-11,Analyst,Senior Executive,15.53,Business Requirement
56,2672,2024-11-17,Junior Executive,Executive,24.99,Outstanding Performance
57,969,2025-10-24,Junior Executive,Team Lead,10.83,Role Expansion
58,1643,2024-03-01,Analyst,Senior Executive,23.34,Annual Promotion
59,1600,2025-12-19,Analyst,Executive,12.51,Role Expansion
60,2854,2024-05-25,Senior Executive,Assistant Manager,24.27,Business Requirement
61,1994,2025-02-05,Associate,Senior Manager,10.63,Leadership Development
62,2221,2024-04-12,Executive,Manager,9.04,Leadership Development
63,2393,2025-07-12,Junior Executive,Executive,16.11,Business Requirement
64,329,2024-07-30,Executive,Manager,22.47,Outstanding Performance
65,2766,2024-10-24,Senior Analyst,Executive,22.65,Role Expansion
66,1009,2025-05-21,Junior Executive,Manager,17.84,Outstanding Performance
67,1718,2025-08-23,Senior Analyst,Executive,19.18,Business Requirement
68,1069,2024-04-20,Senior Analyst,Lead Analyst,11.47,Leadership Development
69,1622,2025-10-10,Executive,Lead Analyst,10.22,Leadership Development
70,298,2025-12-20,Analyst,Lead Analyst,8.16,Business Requirement
71,301,2025-02-24,Senior Analyst,Executive,17.14,Business Requirement
72,282,2025-06-29,Senior Executive,Lead Analyst,22.95,Leadership Development
73,2226,2025-10-20,Senior Executive,Assistant Manager,19.96,Business Requirement
74,2167,2024-05-30,Assistant Manager,Senior Manager,8.13,Business Requirement
75,425,2025-02-18,Senior Executive,Senior Manager,23.96,Annual Promotion
76,439,2024-12-13,Senior Executive,Executive,20.62,Annual Promotion
77,2478,2024-04-20,Senior Executive,Lead Analyst,11.58,Leadership Development
78,2598,2024-09-12,Executive,Senior Manager,22.5,Business Requirement
79,209,2025-10-18,Analyst,Lead Analyst,9.57,Role Expansion
80,181,2024-10-25,Assistant Manager,Lead Analyst,8.06,Annual Promotion
81,662,2024-06-12,Associate,Lead Analyst,20.6,Business Requirement
82,2298,2025-03-24,Associate,Assistant Manager,8.16,Outstanding Performance
83,2235,2024-01-20,Associate,Senior Executive,8.61,Leadership Development
84,607,2024-07-12,Senior Analyst,Manager,15.31,Outstanding Performance
85,164,2025-03-27,Senior Executive,Lead Analyst,23.28,Annual Promotion
86,2732,2025-02-01,Associate,Senior Executive,9.75,Business Requirement
87,634,2024-12-29,Assistant Manager,Manager,23.74,Annual Promotion
88,726,2025-12-13,Assistant Manager,Senior Executive,22.98,Outstanding Performance
89,1361,2025-03-27,Executive,Senior Manager,21.3,Role Expansion
90,1017,2025-12-12,Assistant Manager,Senior Manager,12.54,Outstanding Performance
91,159,2024-10-16,Analyst,Team Lead,22.6,Annual Promotion
92,1886,2025-05-22,Executive,Team Lead,13.94,Annual Promotion
93,792,2025-06-10,Executive,Senior Manager,14.77,Leadership Development
94,1144,2024-02-29,Assistant Manager,Executive,13.97,Business Requirement
95,2197,2025-07-22,Analyst,Senior Manager,13.63,Outstanding Performance
96,732,2024-12-31,Junior Executive,Lead Analyst,17.87,Leadership Development
97,2444,2024-09-04,Junior Executive,Executive,15.39,Leadership Development
98,2095,2025-04-12,Analyst,Manager,9.97,Business Requirement
99,182,2024-01-31,Executive,Lead Analyst,20.05,Outstanding Performance
100,2206,2025-06-02,Senior Analyst,Team Lead,19.68,Annual Promotion
101,287,2025-12-12,Senior Executive,Assistant Manager,24.13,Leadership Development
102,2718,2024-08-05,Senior Analyst,Lead Analyst,22.42,Leadership Development
103,2732,2025-11-03,Senior Analyst,Lead Analyst,14.94,Role Expansion
104,2271,2024-07-31,Associate,Lead Analyst,10.16,Role Expansion
105,2775,2024-11-27,Associate,Assistant Manager,20.72,Annual Promotion
106,1233,2024-07-30,Senior Analyst,Manager,14.9,Outstanding Performance
107,861,2025-05-04,Senior Executive,Lead Analyst,15.31,Business Requirement
108,1320,2025-11-21,Senior Analyst,Senior Manager,15.9,Role Expansion
109,2094,2025-07-26,Associate,Senior Executive,16.04,Annual Promotion
110,1163,2024-06-25,Associate,Executive,16.76,Business Requirement
111,963,2025-05-31,Senior Executive,Executive,19.44,Annual Promotion
112,604,2024-08-18,Assistant Manager,Senior Executive,8.42,Annual Promotion
113,299,2024-05-12,Analyst,Manager,15.74,Business Requirement
114,2853,2024-05-31,Executive,Senior Manager,14.53,Role Expansion
115,2688,2025-09-01,Executive,Senior Executive,19.69,Outstanding Performance
116,721,2024-08-25,Assistant Manager,Senior Executive,21.67,Business Requirement
117,2284,2024-02-01,Analyst,Executive,12.24,Outstanding Performance
118,1904,2025-09-28,Analyst,Senior Executive,19.35,Business Requirement
119,1813,2025-08-20,Senior Analyst,Lead Analyst,18.42,Business Requirement
120,2245,2024-12-24,Analyst,Team Lead,15.58,Annual Promotion
121,1945,2025-04-12,Associate,Team Lead,15.65,Annual Promotion
122,1136,2025-08-17,Assistant Manager,Senior Manager,21.02,Business Requirement
123,980,2024-05-12,Analyst,Senior Manager,12.67,Outstanding Performance
124,961,2025-02-14,Associate,Lead Analyst,12.62,Leadership Development
125,567,2025-02-10,Senior Analyst,Executive,10.56,Role Expansion
126,2894,2024-12-02,Associate,Senior Executive,11.64,Role Expansion
127,2223,2024-08-17,Analyst,Lead Analyst,15.92,Outstanding Performance
128,1721,2025-04-05,Executive,Team Lead,14.62,Business Requirement
129,2359,2025-07-02,Associate,Executive,14.47,Outstanding Performance
130,1598,2025-12-25,Senior Executive,Lead Analyst,22.51,Role Expansion
131,2237,2025-07-13,Senior Analyst,Senior Manager,21.6,Annual Promotion
132,1118,2025-10-16,Analyst,Senior Executive,15.41,Outstanding Performance
133,2740,2025-08-28,Analyst,Lead Analyst,19.55,Role Expansion
134,1915,2025-04-19,Associate,Senior Executive,23.63,Business Requirement
135,1614,2024-01-13,Senior Analyst,Executive,18.06,Outstanding Performance
136,1756,2024-05-29,Junior Executive,Senior Manager,10.31,Role Expansion
137,1553,2025-03-19,Executive,Lead Analyst,13.56,Role Expansion
138,1553,2025-05-27,Senior Executive,Lead Analyst,12.73,Role Expansion
139,336,2024-07-14,Senior Executive,Team Lead,16.0,Business Requirement
140,919,2025-09-28,Junior Executive,Lead Analyst,19.05,Outstanding Performance
141,1013,2025-04-06,Assistant Manager,Executive,11.39,Outstanding Performance
142,978,2024-09-12,Senior Analyst,Senior Executive,10.15,Outstanding Performance
143,1905,2024-10-24,Senior Analyst,Senior Executive,19.89,Leadership Development
144,2488,2025-08-30,Executive,Manager,24.38,Outstanding Performance
145,671,2025-02-25,Assistant Manager,Team Lead,24.4,Outstanding Performance
146,1278,2024-07-27,Senior Analyst,Executive,17.79,Role Expansion
147,813,2024-06-10,Analyst,Senior Manager,9.29,Annual Promotion
148,1236,2024-01-04,Junior Executive,Senior Manager,22.45,Business Requirement
149,2319,2025-07-31,Assistant Manager,Executive,21.3,Leadership Development
150,2710,2024-12-07,Senior Analyst,Assistant Manager,14.3,Business Requirement
151,52,2025-12-14,Associate,Lead Analyst,22.44,Role Expansion
152,1484,2024-11-09,Junior Executive,Assistant Manager,18.8,Role Expansion
153,1784,2024-04-16,Associate,Senior Executive,10.99,Business Requirement
154,2523,2024-02-28,Associate,Lead Analyst,21.74,Business Requirement
155,2995,2024-08-13,Assistant Manager,Team Lead,18.07,Leadership Development
156,355,2024-12-31,Assistant Manager,Senior Executive,12.74,Role Expansion
157,1904,2024-03-05,Executive,Team Lead,17.69,Role Expansion
158,2025,2025-01-13,Senior Executive,Executive,22.47,Annual Promotion
159,1454,2024-10-25,Analyst,Senior Executive,21.56,Leadership Development
160,2873,2024-03-30,Senior Executive,Manager,22.96,Business Requirement
161,783,2024-07-21,Junior Executive,Manager,9.46,Role Expansion
162,985,2024-12-10,Analyst,Manager,19.74,Role Expansion
163,71,2025-08-21,Analyst,Team Lead,9.58,Annual Promotion
164,997,2024-11-21,Analyst,Senior Manager,13.21,Business Requirement
165,2268,2025-08-08,Senior Executive,Assistant Manager,17.03,Role Expansion
166,1355,2024-01-30,Associate,Manager,13.98,Role Expansion
167,1030,2025-07-25,Senior Executive,Lead Analyst,11.92,Annual Promotion
168,2195,2024-04-10,Senior Executive,Executive,24.16,Annual Promotion
169,1984,2024-01-15,Executive,Senior Executive,12.7,Business Requirement
170,2445,2025-11-24,Assistant Manager,Manager,12.81,Outstanding Performance
171,1214,2025-10-01,Assistant Manager,Senior Executive,11.87,Annual Promotion
172,2901,2024-04-05,Senior Executive,Executive,17.08,Leadership Development
173,2267,2024-10-04,Junior Executive,Executive,12.97,Annual Promotion
174,2011,2025-05-07,Associate,Team Lead,9.74,Outstanding Performance
175,1923,2025-10-19,Senior Analyst,Lead Analyst,16.14,Leadership Development
176,1957,2025-02-12,Executive,Lead Analyst,9.94,Outstanding Performance
177,304,2025-11-05,Analyst,Assistant Manager,17.81,Outstanding Performance
178,2306,2025-09-07,Executive,Senior Executive,24.14,Outstanding Performance
179,1705,2025-04-01,Executive,Manager,18.31,Business Requirement
180,2141,2024-07-18,Executive,Team Lead,14.47,Role Expansion
181,2411,2024-10-08,Senior Executive,Team Lead,24.83,Leadership Development
182,247,2024-05-01,Senior Analyst,Manager,18.36,Outstanding Performance
183,2563,2024-01-29,Assistant Manager,Senior Executive,11.59,Outstanding Performance
184,712,2025-11-23,Executive,Senior Executive,17.38,Annual Promotion
185,1846,2024-04-04,Junior Executive,Assistant Manager,19.72,Role Expansion
186,949,2025-08-24,Senior Executive,Executive,12.9,Leadership Development
187,1860,2024-03-30,Associate,Team Lead,9.21,Annual Promotion
188,2561,2024-05-08,Senior Executive,Team Lead,18.03,Annual Promotion
189,2231,2025-01-03,Analyst,Executive,11.82,Annual Promotion
190,583,2024-05-25,Senior Executive,Team Lead,9.21,Annual Promotion
191,2438,2024-09-09,Assistant Manager,Lead Analyst,20.73,Business Requirement
192,510,2024-06-26,Senior Executive,Assistant Manager,15.97,Leadership Development
193,1116,2024-10-21,Associate,Assistant Manager,16.51,Role Expansion
194,2450,2025-08-19,Analyst,Executive,8.68,Role Expansion
195,2473,2025-01-31,Associate,Lead Analyst,12.26,Outstanding Performance
196,2357,2024-07-20,Executive,Senior Manager,17.98,Outstanding Performance
197,1104,2024-12-09,Assistant Manager,Senior Manager,17.8,Annual Promotion
198,2669,2025-07-06,Analyst,Manager,15.52,Leadership Development
199,1786,2024-11-29,Executive,Manager,18.79,Role Expansion
200,1426,2025-08-03,Junior Executive,Assistant Manager,14.94,Leadership Development
201,659,2024-09-15,Associate,Executive,13.61,Role Expansion
202,1641,2024-12-29,Senior Executive,Senior Manager,21.83,Business Requirement
203,361,2025-08-19,Junior Executive,Assistant Manager,13.35,Leadership Development
204,1656,2024-10-30,Junior Executive,Team Lead,22.7,Outstanding Performance
205,2223,2025-03-16,Associate,Team Lead,15.85,Outstanding Performance
206,1482,2024-11-30,Executive,Manager,18.58,Role Expansion
207,212,2025-09-05,Associate,Assistant Manager,11.46,Business Requirement
208,1795,2025-12-06,Executive,Lead Analyst,22.97,Role Expansion
209,2581,2025-10-14,Junior Executive,Executive,18.35,Annual Promotion
210,1273,2025-11-03,Associate,Senior Executive,17.36,Business Requirement
211,921,2024-12-19,Analyst,Executive,24.87,Outstanding Performance
212,2654,2024-10-24,Analyst,Executive,22.15,Role Expansion
213,2085,2024-09-07,Associate,Lead Analyst,19.99,Role Expansion
214,1871,2024-07-16,Assistant Manager,Senior Executive,17.37,Role Expansion
215,2082,2025-09-26,Executive,Manager,20.69,Annual Promotion
216,1132,2024-10-29,Assistant Manager,Executive,21.14,Role Expansion
217,2080,2024-11-10,Senior Executive,Team Lead,12.54,Outstanding Performance
218,1223,2024-02-21,Senior Executive,Senior Manager,22.24,Business Requirement
219,609,2024-02-11,Associate,Assistant Manager,15.59,Role Expansion
220,2261,2025-07-22,Senior Executive,Lead Analyst,20.97,Role Expansion
221,773,2024-12-18,Analyst,Lead Analyst,24.67,Annual Promotion
222,957,2024-04-11,Senior Analyst,Assistant Manager,22.55,Role Expansion
223,1938,2024-12-17,Junior Executive,Lead Analyst,19.99,Role Expansion
224,2671,2024-03-09,Analyst,Senior Manager,24.67,Role Expansion
225,2058,2025-04-12,Junior Executive,Senior Executive,24.41,Leadership Development
226,1804,2025-10-24,Assistant Manager,Executive,9.7,Role Expansion
227,591,2025-07-21,Junior Executive,Senior Manager,14.97,Annual Promotion
228,1086,2024-04-22,Junior Executive,Assistant Manager,13.76,Role Expansion
229,1346,2024-05-26,Associate,Executive,22.49,Business Requirement
230,2568,2024-01-06,Analyst,Lead Analyst,20.22,Role Expansion
231,148,2025-03-19,Assistant Manager,Manager,18.5,Annual Promotion
232,1178,2025-07-26,Associate,Senior Manager,24.96,Outstanding Performance
233,2596,2024-05-08,Analyst,Executive,19.97,Outstanding Performance
234,2843,2024-04-07,Analyst,Senior Executive,13.09,Outstanding Performance
235,230,2025-07-19,Junior Executive,Lead Analyst,12.99,Leadership Development
236,1001,2025-01-15,Analyst,Senior Executive,17.03,Business Requirement
237,738,2024-09-26,Associate,Team Lead,10.89,Outstanding Performance
238,1567,2024-09-08,Senior Analyst,Team Lead,18.54,Annual Promotion
239,587,2024-05-13,Analyst,Manager,11.95,Leadership Development
240,2732,2024-08-05,Analyst,Lead Analyst,8.16,Role Expansion
241,2239,2024-06-16,Senior Executive,Senior Manager,10.69,Role Expansion
242,1226,2025-05-10,Senior Executive,Manager,18.86,Role Expansion
243,1872,2024-10-18,Associate,Lead Analyst,22.37,Annual Promotion
244,1980,2024-12-23,Analyst,Team Lead,9.81,Role Expansion
245,2355,2025-11-07,Senior Analyst,Lead Analyst,13.03,Leadership Development
246,2697,2025-08-28,Junior Executive,Team Lead,14.73,Outstanding Performance
247,2810,2025-05-26,Senior Analyst,Team Lead,21.23,Outstanding Performance
248,2035,2025-10-03,Senior Analyst,Senior Manager,22.16,Leadership Development
249,943,2024-07-19,Assistant Manager,Team Lead,18.32,Leadership Development
250,779,2024-05-13,Executive,Senior Manager,18.56,Annual Promotion
251,2571,2025-09-04,Associate,Executive,18.99,Leadership Development
252,2374,2025-02-23,Assistant Manager,Executive,14.2,Annual Promotion
253,1339,2025-08-10,Junior Executive,Lead Analyst,20.71,Annual Promotion
254,2210,2024-09-30,Executive,Senior Executive,22.9,Leadership Development
255,1117,2024-05-11,Senior Analyst,Manager,22.12,Leadership Development
256,1209,2025-05-22,Assistant Manager,Team Lead,20.69,Leadership Development
257,1919,2025-07-04,Assistant Manager,Executive,24.37,Annual Promotion
258,2771,2025-11-26,Assistant Manager,Senior Executive,20.31,Role Expansion
259,2283,2024-05-28,Assistant Manager,Team Lead,14.22,Role Expansion
260,2198,2025-01-04,Junior Executive,Lead Analyst,10.1,Leadership Development
261,2754,2025-07-30,Associate,Senior Manager,12.46,Role Expansion
262,1522,2025-12-11,Assistant Manager,Senior Manager,9.84,Annual Promotion
263,2538,2024-01-02,Analyst,Executive,23.03,Business Requirement
264,907,2025-06-03,Senior Executive,Manager,19.01,Role Expansion
265,2660,2025-05-26,Associate,Lead Analyst,14.94,Annual Promotion
266,1247,2024-07-01,Junior Executive,Executive,24.93,Outstanding Performance
267,2202,2024-01-10,Junior Executive,Senior Executive,10.31,Role Expansion
268,2853,2025-07-05,Senior Executive,Senior Manager,24.08,Role Expansion
269,2977,2025-03-01,Senior Analyst,Senior Manager,10.63,Role Expansion
270,2005,2025-12-02,Associate,Executive,18.47,Leadership Development
271,1518,2025-12-11,Junior Executive,Senior Manager,11.69,Role Expansion
272,1486,2024-09-28,Executive,Team Lead,9.69,Leadership Development
273,1470,2024-04-05,Senior Analyst,Senior Manager,9.03,Leadership Development
274,1863,2024-02-24,Executive,Team Lead,9.56,Annual Promotion
275,2446,2024-12-16,Associate,Senior Manager,24.51,Outstanding Performance
276,998,2025-12-24,Assistant Manager,Lead Analyst,24.81,Business Requirement
277,2271,2024-05-30,Executive,Team Lead,11.52,Annual Promotion
278,955,2025-09-14,Assistant Manager,Team Lead,13.59,Annual Promotion
279,12,2024-05-04,Assistant Manager,Manager,12.71,Annual Promotion
280,1027,2025-12-13,Executive,Manager,21.57,Outstanding Performance
281,106,2024-04-04,Associate,Team Lead,10.24,Leadership Development
282,975,2025-01-01,Assistant Manager,Team Lead,18.01,Outstanding Performance
283,215,2024-04-11,Executive,Lead Analyst,10.15,Role Expansion
284,261,2025-12-30,Senior Analyst,Executive,16.1,Leadership Development
285,447,2025-09-17,Senior Analyst,Manager,15.68,Annual Promotion
286,2979,2024-03-02,Senior Analyst,Executive,21.31,Business Requirement
287,2636,2025-07-06,Senior Executive,Assistant Manager,24.39,Outstanding Performance
288,1646,2024-01-06,Analyst,Team Lead,15.25,Outstanding Performance
289,1817,2024-07-16,Analyst,Senior Manager,9.25,Outstanding Performance
290,608,2025-07-13,Senior Executive,Manager,9.12,Leadership Development
291,2398,2025-12-01,Senior Analyst,Senior Manager,17.32,Leadership Development
292,2174,2025-03-05,Analyst,Manager,13.01,Business Requirement
293,407,2024-12-28,Senior Analyst,Assistant Manager,21.48,Outstanding Performance
294,2667,2025-04-03,Assistant Manager,Senior Manager,22.92,Business Requirement
295,881,2025-09-20,Associate,Team Lead,15.31,Annual Promotion
296,1858,2024-01-03,Analyst,Lead Analyst,14.78,Outstanding Performance
297,1281,2024-07-18,Senior Executive,Assistant Manager,19.31,Leadership Development
298,1943,2024-11-21,Executive,Senior Manager,9.14,Outstanding Performance
299,396,2025-04-06,Junior Executive,Assistant Manager,20.66,Leadership Development
300,2279,2025-05-03,Assistant Manager,Senior Executive,9.02,Business Requirement
301,2745,2025-08-25,Senior Analyst,Lead Analyst,10.08,Leadership Development
302,1733,2024-04-15,Assistant Manager,Senior Manager,22.76,Outstanding Performance
303,1280,2025-04-28,Senior Executive,Manager,13.98,Business Requirement
304,634,2025-09-05,Senior Analyst,Senior Executive,19.16,Annual Promotion
305,1435,2025-03-16,Assistant Manager,Executive,22.37,Leadership Development
306,1142,2025-09-25,Junior Executive,Team Lead,17.76,Role Expansion
307,2547,2024-09-17,Assistant Manager,Manager,18.43,Business Requirement
308,2695,2024-09-29,Junior Executive,Manager,22.1,Leadership Development
309,1120,2024-10-26,Junior Executive,Senior Executive,19.95,Leadership Development
310,26,2025-02-15,Senior Executive,Lead Analyst,11.08,Annual Promotion
311,1642,2024-04-23,Senior Analyst,Senior Manager,9.18,Outstanding Performance
312,2173,2024-11-26,Junior Executive,Senior Manager,11.66,Role Expansion
313,645,2024-12-12,Analyst,Lead Analyst,14.29,Leadership Development
314,2443,2025-10-14,Assistant Manager,Manager,9.44,Outstanding Performance
315,2531,2025-11-17,Executive,Senior Executive,8.85,Outstanding Performance
316,2712,2025-06-05,Senior Executive,Assistant Manager,15.21,Business Requirement
317,1119,2025-03-16,Analyst,Assistant Manager,11.66,Business Requirement
318,1761,2025-04-29,Junior Executive,Lead Analyst,9.89,Business Requirement
319,2733,2025-07-07,Analyst,Manager,13.24,Annual Promotion
320,225,2025-04-07,Analyst,Manager,8.13,Leadership Development
321,563,2024-06-22,Executive,Team Lead,20.99,Leadership Development
322,32,2024-09-27,Senior Executive,Executive,16.46,Role Expansion
323,1558,2025-06-12,Executive,Senior Executive,17.05,Annual Promotion
324,2737,2025-11-25,Senior Analyst,Manager,21.71,Outstanding Performance
325,174,2024-04-22,Analyst,Team Lead,15.42,Role Expansion
326,1283,2025-12-06,Junior Executive,Team Lead,17.79,Business Requirement
327,2623,2025-08-21,Analyst,Senior Manager,15.1,Outstanding Performance
328,1331,2024-04-27,Analyst,Executive,10.92,Business Requirement
329,2825,2025-09-08,Analyst,Team Lead,23.64,Outstanding Performance
330,434,2024-03-21,Analyst,Team Lead,12.14,Business Requirement
331,323,2025-06-20,Analyst,Manager,14.73,Leadership Development
332,908,2025-05-27,Associate,Lead Analyst,13.66,Annual Promotion
333,2594,2024-07-31,Junior Executive,Manager,9.94,Business Requirement
334,1432,2025-01-13,Executive,Team Lead,13.97,Annual Promotion
335,1049,2024-02-12,Executive,Senior Executive,11.35,Business Requirement
336,2685,2025-05-04,Executive,Team Lead,9.28,Role Expansion
337,2310,2025-05-30,Analyst,Team Lead,20.92,Role Expansion
338,2634,2025-02-23,Associate,Manager,18.8,Business Requirement
339,2570,2025-03-06,Senior Executive,Team Lead,13.37,Role Expansion
340,1812,2025-06-15,Junior Executive,Assistant Manager,18.73,Leadership Development
341,1442,2025-04-05,Senior Analyst,Executive,16.62,Leadership Development
342,155,2025-05-10,Analyst,Assistant Manager,8.97,Leadership Development
343,370,2025-12-26,Junior Executive,Senior Manager,18.46,Business Requirement
344,2378,2024-01-11,Analyst,Assistant Manager,17.42,Outstanding Performance
345,2342,2025-07-18,Analyst,Team Lead,19.08,Leadership Development
346,2054,2024-06-19,Senior Analyst,Assistant Manager,10.56,Outstanding Performance
347,1407,2025-04-16,Analyst,Executive,24.7,Outstanding Performance
348,707,2024-10-21,Senior Analyst,Senior Manager,8.67,Role Expansion
349,2142,2024-01-11,Analyst,Manager,18.37,Leadership Development
350,1587,2025-06-27,Senior Executive,Lead Analyst,14.95,Leadership Development
351,215,2024-05-22,Associate,Manager,21.42,Leadership Development
352,388,2024-03-25,Junior Executive,Lead Analyst,17.49,Role Expansion
353,2965,2024-02-21,Senior Executive,Lead Analyst,22.48,Business Requirement
354,1366,2025-02-22,Assistant Manager,Senior Executive,9.39,Annual Promotion
355,2688,2025-02-12,Senior Executive,Lead Analyst,19.87,Role Expansion
356,2904,2024-11-27,Executive,Manager,23.95,Leadership Development
357,2636,2025-09-28,Senior Analyst,Assistant Manager,21.46,Annual Promotion
358,2808,2024-08-04,Associate,Senior Manager,23.51,Outstanding Performance
359,1735,2025-04-19,Associate,Senior Manager,16.64,Outstanding Performance
360,739,2024-10-28,Senior Executive,Lead Analyst,24.17,Leadership Development
361,928,2024-03-31,Assistant Manager,Senior Executive,25.0,Annual Promotion
362,415,2024-01-20,Junior Executive,Lead Analyst,16.63,Business Requirement
363,2157,2025-05-20,Assistant Manager,Senior Manager,8.64,Leadership Development
364,537,2024-06-17,Assistant Manager,Manager,18.15,Annual Promotion
365,2838,2025-05-22,Executive,Senior Executive,21.11,Annual Promotion
366,179,2025-06-01,Associate,Assistant Manager,14.98,Annual Promotion
367,1168,2024-12-12,Analyst,Manager,20.79,Role Expansion
368,980,2024-08-23,Executive,Manager,13.26,Role Expansion
369,1507,2025-02-26,Assistant Manager,Senior Executive,19.53,Business Requirement
370,1155,2024-05-30,Analyst,Assistant Manager,21.23,Business Requirement
371,664,2024-05-26,Senior Analyst,Assistant Manager,21.89,Business Requirement
372,1025,2025-08-17,Executive,Team Lead,8.89,Role Expansion
373,2272,2025-05-11,Assistant Manager,Lead Analyst,23.88,Business Requirement
374,1168,2024-05-11,Assistant Manager,Executive,9.43,Annual Promotion
375,2103,2024-02-03,Senior Executive,Assistant Manager,10.5,Role Expansion
376,1848,2024-05-15,Junior Executive,Senior Executive,23.04,Outstanding Performance
377,1624,2024-05-04,Analyst,Executive,16.53,Annual Promotion
378,1536,2025-03-08,Analyst,Executive,11.82,Leadership Development
379,2928,2024-06-15,Junior Executive,Team Lead,19.05,Annual Promotion
380,1936,2025-09-22,Executive,Lead Analyst,19.83,Annual Promotion
381,1922,2025-06-06,Assistant Manager,Senior Manager,15.63,Outstanding Performance
382,1049,2024-03-08,Junior Executive,Executive,11.67,Annual Promotion
383,2494,2024-10-15,Senior Analyst,Senior Manager,16.97,Outstanding Performance
384,974,2024-04-28,Assistant Manager,Lead Analyst,13.12,Outstanding Performance
385,2618,2025-06-17,Executive,Assistant Manager,21.5,Role Expansion
386,2048,2024-12-19,Junior Executive,Executive,18.14,Outstanding Performance
387,2356,2025-12-20,Associate,Manager,12.11,Annual Promotion
388,7,2025-05-31,Senior Executive,Assistant Manager,18.45,Annual Promotion
389,768,2025-05-07,Senior Analyst,Assistant Manager,19.29,Outstanding Performance
