exit_id,employee_id,exit_date,exit_type,exit_reason,notice_period_days,eligible_for_rehire
148,1396,2024-10-07,Resignation,Relocation,0,Yes
149,468,2025-09-10,Retirement,Higher Education,60,Yes
150,2812,2024-05-09,Resignation,Better Career Opportunity,15,Yes
151,1245,2024-02-07,Resignation,Higher Education,15,Yes
152,2484,2025-08-17,Termination,Retirement,90,Yes
153,1218,2025-01-20,Retirement,Health Issues,30,Yes
154,407,2024-11-26,Resignation,Retirement,15,Yes
155,983,2025-09-02,Resignation,Relocation,90,Yes
156,1846,2025-07-31,Resignation,Company Restructuring,30,Yes
157,1159,2024-06-17,Resignation,Company Restructuring,0,Yes
158,2561,2024-04-24,Retirement,Retirement,60,Yes
159,611,2025-09-21,Resignation,Performance Issues,15,Yes
160,1260,2024-12-21,Resignation,Performance Issues,60,Yes
161,2867,2025-11-26,Resignation,Health Issues,30,Yes
162,330,2025-01-20,Resignation,Better Career Opportunity,60,Yes
163,106,2025-10-21,Resignation,Higher Education,15,No
164,2357,2025-11-29,Termination,Better Career Opportunity,30,Yes
165,718,2025-03-27,Termination,Company Restructuring,90,Yes
166,744,2024-11-19,Retirement,Health Issues,60,No
167,1673,2025-11-27,Resignation,Personal Reasons,30,Yes
168,1351,2025-07-26,Retirement,Health Issues,60,Yes
169,2254,2025-01-17,Retirement,Better Career Opportunity,60,Yes
170,475,2024-09-23,Resignation,Health Issues,90,No
171,2223,2024-10-23,Resignation,Company Restructuring,60,Yes
172,2551,2025-03-03,Resignation,Company Restructuring,60,Yes
173,2250,2024-08-02,Resignation,Relocation,30,Yes
174,498,2024-01-25,Resignation,Better Career Opportunity,90,Yes
175,1273,2025-03-21,Termination,End of Contract,0,Yes
176,465,2024-05-30,Resignation,Company Restructuring,0,Yes
177,2936,2024-04-02,Resignation,Performance Issues,90,Yes
178,1977,2025-10-25,Resignation,Company Restructuring,15,Yes
179,781,2025-04-09,Resignation,End of Contract,15,No
180,1700,2025-03-20,Resignation,Personal Reasons,90,Yes
181,2974,2025-11-30,Resignation,Performance Issues,90,Yes
182,609,2024-05-02,Resignation,Company Restructuring,90,Yes
183,2226,2025-11-05,Resignation,Health Issues,60,No
184,2857,2024-12-19,Retirement,Retirement,90,Yes
185,1683,2025-11-24,Retirement,Better Career Opportunity,30,Yes
186,1562,2024-10-02,Termination,Health Issues,15,Yes
187,2058,2024-12-21,Resignation,Personal Reasons,0,No
188,2155,2025-03-07,Resignation,Company Restructuring,0,Yes
189,2682,2025-07-26,Resignation,Relocation,0,Yes
190,1387,2025-11-18,Contract End,Health Issues,0,No
191,2186,2025-06-10,Retirement,Health Issues,30,Yes
192,1999,2025-11-04,Retirement,End of Contract,0,Yes
193,2804,2025-10-16,Resignation,Performance Issues,15,Yes
194,404,2025-06-01,Resignation,Higher Education,60,Yes
195,119,2024-05-26,Resignation,Better Career Opportunity,30,Yes
196,1536,2024-04-17,Resignation,Health Issues,15,Yes
197,2793,2025-08-26,Resignation,Relocation,15,Yes
198,1567,2025-11-04,Resignation,Retirement,60,No
199,1889,2024-07-21,Resignation,Performance Issues,60,Yes
200,1906,2024-01-02,Resignation,Performance Issues,90,Yes
201,1416,2025-05-31,Resignation,Performance Issues,60,Yes
202,1238,2024-07-28,Resignation,Retirement,60,No
203,1563,2024-06-26,Resignation,Personal Reasons,90,Yes
204,90,2024-05-05,Resignation,Health Issues,30,Yes
205,201,2025-02-18,Retirement,Company Restructuring,30,Yes
206,1444,2025-11-24,Resignation,Retirement,15,Yes
207,2953,2025-08-02,Resignation,Relocation,0,No
208,1266,2024-06-01,Resignation,Company Restructuring,0,Yes
209,370,2024-04-15,Termination,Performance Issues,30,Yes
210,542,2024-05-19,Resignation,End of Contract,30,Yes
211,674,2024-05-18,Retirement,Performance Issues,60,No
212,1388,2024-03-13,Resignation,Higher Education,60,No
213,925,2024-06-23,Resignation,Health Issues,90,Yes
214,58,2024-10-11,Termination,Performance Issues,90,Yes
215,2754,2024-01-30,Resignation,Performance Issues,90,Yes
216,1522,2024-04-11,Resignation,Higher Education,15,Yes
217,2300,2024-04-26,Resignation,Personal Reasons,90,Yes
218,1902,2025-12-11,Resignation,Performance Issues,60,Yes
219,153,2024-07-12,Resignation,Performance Issues,60,Yes
220,2202,2025-03-08,Resignation,Relocation,60,Yes
221,2853,2024-03-07,Resignation,End of Contract,60,Yes
222,1700,2025-07-09,Termination,Higher Education,60,Yes
223,1146,2024-03-28,Retirement,Better Career Opportunity,30,Yes
224,968,2025-04-01,Resignation,Personal Reasons,0,No
225,2642,2025-10-25,Resignation,Personal Reasons,0,Yes
226,501,2025-02-12,Resignation,Company Restructuring,0,Yes
227,2446,2024-06-26,Resignation,Better Career Opportunity,0,Yes
228,516,2024-09-12,Resignation,Retirement,0,No
229,2402,2024-04-07,Resignation,Retirement,15,Yes
230,2442,2024-05-11,Resignation,Better Career Opportunity,30,No
231,533,2024-10-01,Resignation,End of Contract,30,Yes
232,106,2025-04-28,Resignation,Relocation,0,Yes
233,2412,2025-10-18,Termination,Personal Reasons,0,Yes
234,1725,2024-07-26,Resignation,End of Contract,0,Yes
235,1483,2024-04-10,Resignation,End of Contract,90,Yes
236,2520,2024-10-17,Resignation,Better Career Opportunity,90,Yes
237,128,2024-01-03,Resignation,Better Career Opportunity,60,No
238,443,2025-01-05,Resignation,Company Restructuring,60,Yes
239,2492,2024-05-11,Resignation,Relocation,0,Yes
240,2398,2024-10-04,Resignation,End of Contract,30,Yes
241,1208,2024-01-04,Resignation,Company Restructuring,90,Yes
242,2875,2025-03-08,Resignation,Higher Education,90,Yes
243,1850,2024-11-21,Resignation,Retirement,60,Yes
244,1704,2025-06-02,Resignation,Higher Education,30,Yes
245,1534,2024-06-22,Resignation,Relocation,60,Yes
246,382,2025-05-19,Termination,Health Issues,0,Yes
247,533,2024-07-01,Resignation,End of Contract,0,Yes
248,1351,2024-04-24,Resignation,Higher Education,60,Yes
249,1733,2025-11-01,Resignation,Better Career Opportunity,30,Yes
250,2368,2025-08-25,Resignation,End of Contract,15,Yes
251,444,2024-10-17,Resignation,Personal Reasons,90,Yes
252,2352,2024-11-05,Termination,Retirement,60,No
253,2547,2024-04-16,Contract End,End of Contract,0,Yes
254,2841,2025-11-01,Resignation,Performance Issues,0,Yes
255,1266,2024-07-27,Termination,Personal Reasons,30,Yes
256,2320,2024-12-16,Retirement,Health Issues,0,Yes
257,126,2025-12-28,Resignation,Higher Education,90,Yes
258,1397,2024-05-28,Resignation,Relocation,30,Yes
259,2325,2024-07-30,Resignation,Higher Education,0,Yes
260,204,2025-01-14,Termination,Higher Education,30,Yes
261,2487,2024-05-29,Resignation,Company Restructuring,60,Yes
262,467,2024-07-11,Termination,Personal Reasons,60,Yes
263,2430,2025-10-13,Resignation,Company Restructuring,90,Yes
264,1619,2024-10-09,Resignation,Better Career Opportunity,0,Yes
265,563,2024-11-22,Retirement,Performance Issues,30,Yes
266,1764,2025-07-01,Resignation,Relocation,15,Yes
267,2050,2025-03-12,Termination,End of Contract,30,Yes
268,174,2025-08-12,Retirement,Health Issues,0,Yes
269,1283,2024-02-06,Resignation,Health Issues,90,Yes
270,1186,2024-04-09,Resignation,Higher Education,60,Yes
271,2532,2024-08-10,Resignation,Company Restructuring,30,Yes
272,997,2024-04-22,Termination,Health Issues,90,Yes
273,1271,2025-06-08,Resignation,Personal Reasons,15,Yes
274,2091,2025-09-15,Resignation,Higher Education,90,Yes
275,1432,2025-01-07,Retirement,Personal Reasons,15,Yes
276,809,2025-05-10,Resignation,Relocation,90,Yes
277,309,2024-10-27,Termination,Relocation,60,Yes
278,2374,2025-08-01,Resignation,Company Restructuring,90,Yes
279,1324,2025-04-24,Contract End,Personal Reasons,15,Yes
280,2587,2025-09-22,Resignation,Performance Issues,30,Yes
281,304,2024-09-08,Resignation,Performance Issues,60,Yes
282,1176,2025-10-02,Resignation,Higher Education,0,Yes
283,1896,2024-04-21,Resignation,End of Contract,0,Yes
284,2670,2025-10-09,Termination,Retirement,30,Yes
285,254,2025-09-12,Resignation,Company Restructuring,0,No
286,2926,2025-01-03,Termination,Higher Education,90,Yes
287,2899,2025-12-15,Resignation,Company Restructuring,60,Yes
288,1491,2025-06-20,Resignation,Personal Reasons,30,Yes
289,2781,2024-04-28,Termination,Better Career Opportunity,30,Yes
290,2779,2024-06-06,Resignation,Health Issues,30,Yes
291,2469,2024-03-30,Retirement,Relocation,30,Yes
292,1433,2024-11-03,Resignation,Performance Issues,60,Yes
293,348,2025-10-24,Termination,Performance Issues,90,Yes
294,524,2024-06-04,Termination,End of Contract,0,Yes
295,1483,2024-01-21,Resignation,Better Career Opportunity,30,Yes
296,1400,2025-02-22,Contract End,Company Restructuring,15,Yes
297,317,2024-04-27,Resignation,Performance Issues,0,Yes
298,2157,2025-12-15,Resignation,Better Career Opportunity,30,No
299,2447,2024-02-14,Resignation,Health Issues,15,Yes
300,2559,2025-12-17,Termination,Relocation,60,Yes
301,2948,2025-02-16,Resignation,Retirement,60,Yes
302,1839,2024-07-22,Termination,Retirement,90,Yes
303,1922,2024-08-07,Contract End,Retirement,30,Yes
304,1805,2024-05-16,Resignation,Company Restructuring,30,Yes
305,1715,2025-06-10,Resignation,Relocation,15,No
306,1025,2024-02-06,Resignation,Better Career Opportunity,60,No
307,421,2025-02-04,Resignation,End of Contract,0,Yes
308,1118,2024-12-22,Termination,Company Restructuring,90,Yes
309,910,2025-03-28,Resignation,Company Restructuring,30,No
310,1624,2024-01-18,Resignation,End of Contract,30,Yes
311,1536,2024-11-20,Contract End,Retirement,0,Yes
312,2928,2024-10-11,Resignation,Personal Reasons,15,Yes
313,1936,2024-03-10,Resignation,Relocation,60,Yes
314,325,2024-01-30,Resignation,Better Career Opportunity,30,Yes
315,2979,2024-10-07,Resignation,End of Contract,60,Yes
316,1234,2025-03-06,Resignation,Higher Education,0,Yes
317,2552,2025-05-17,Resignation,Company Restructuring,0,Yes
318,2445,2025-01-29,Retirement,End of Contract,0,Yes
319,2944,2025-07-25,Resignation,Relocation,30,Yes
320,986,2024-11-15,Resignation,Health Issues,15,Yes
321,1478,2024-07-07,Resignation,Higher Education,90,Yes
322,2080,2024-04-30,Termination,End of Contract,0,Yes
323,2604,2025-09-08,Resignation,Health Issues,30,Yes
324,277,2024-09-23,Resignation,Personal Reasons,15,Yes
325,2384,2024-11-14,Resignation,Personal Reasons,15,Yes
326,2633,2025-10-15,Resignation,Relocation,60,No
327,747,2025-05-15,Resignation,Relocation,0,Yes
328,152,2024-03-15,Retirement,Performance Issues,15,Yes
329,172,2025-08-26,Resignation,Personal Reasons,30,Yes
330,2225,2025-05-30,Contract End,Company Restructuring,30,Yes
331,1172,2024-12-22,Resignation,Personal Reasons,0,No
332,510,2025-09-07,Resignation,Personal Reasons,60,No
333,1584,2024-07-03,Termination,Personal Reasons,15,Yes
334,2127,2025-09-06,Resignation,Performance Issues,0,Yes
335,2468,2024-10-09,Resignation,Relocation,90,Yes
336,1344,2025-01-31,Resignation,Performance Issues,30,Yes
337,683,2025-01-29,Termination,Company Restructuring,30,Yes
338,1445,2025-09-08,Termination,Health Issues,30,Yes
339,235,2024-01-02,Termination,Higher Education,60,Yes
340,2783,2024-02-24,Termination,Relocation,0,Yes
341,1795,2025-06-30,Resignation,Better Career Opportunity,15,Yes
342,1501,2024-10-08,Termination,Personal Reasons,60,No
343,629,2025-09-28,Resignation,Company Restructuring,30,Yes
344,2351,2025-12-21,Termination,Relocation,90,Yes
345,1142,2024-10-20,Resignation,Retirement,0,Yes
346,2121,2025-02-10,Resignation,Health Issues,90,Yes
347,2884,2024-06-02,Termination,Company Restructuring,15,No
348,2012,2024-06-19,Resignation,Retirement,0,Yes
349,708,2024-10-13,Resignation,Company Restructuring,0,No
350,1310,2025-05-23,Contract End,Personal Reasons,0,Yes
351,1229,2025-08-18,Resignation,Relocation,15,Yes
352,498,2025-02-16,Resignation,Retirement,15,Yes
353,1479,2025-03-27,Resignation,End of Contract,90,Yes
354,2260,2025-02-19,Termination,Relocation,90,No
355,1631,2025-03-22,Resignation,Company Restructuring,90,Yes
356,2355,2025-11-17,Resignation,Higher Education,15,No
357,1844,2025-04-03,Resignation,Company Restructuring,90,Yes
358,2259,2024-08-06,Retirement,Relocation,15,Yes
359,227,2025-09-25,Retirement,Higher Education,90,Yes
360,1322,2025-08-31,Resignation,Retirement,30,No
361,1164,2025-04-18,Resignation,Higher Education,30,Yes
362,1125,2024-09-25,Contract End,Relocation,30,Yes
363,2626,2024-12-24,Resignation,Relocation,90,No
364,2699,2024-09-16,Resignation,Personal Reasons,90,Yes
365,333,2024-03-26,Retirement,Better Career Opportunity,90,Yes
366,2344,2025-11-13,Resignation,Health Issues,90,Yes
367,2569,2025-08-03,Resignation,End of Contract,30,Yes
368,1004,2024-11-05,Resignation,Health Issues,30,Yes
369,648,2025-05-11,Resignation,Company Restructuring,60,Yes
370,2485,2024-10-09,Resignation,Relocation,30,No
371,1415,2024-06-21,Resignation,Health Issues,15,Yes
372,435,2024-10-07,Resignation,Personal Reasons,15,Yes
373,1016,2024-02-19,Resignation,Relocation,0,Yes
374,2521,2025-03-24,Retirement,Health Issues,15,No
375,1342,2025-10-12,Retirement,Personal Reasons,15,Yes
376,2109,2024-07-12,Resignation,Company Restructuring,60,No
377,369,2024-05-31,Resignation,Health Issues,90,Yes
378,2390,2025-08-13,Resignation,Personal Reasons,0,Yes
379,2680,2024-01-23,Resignation,Company Restructuring,30,Yes
380,1766,2025-04-14,Termination,Relocation,30,Yes
381,1499,2025-05-14,Termination,Better Career Opportunity,60,Yes
382,1485,2024-09-30,Resignation,End of Contract,30,Yes
383,2253,2024-06-09,Resignation,Performance Issues,90,Yes
384,397,2025-04-04,Resignation,Health Issues,30,Yes
385,1498,2025-12-17,Resignation,Relocation,15,Yes
386,165,2025-08-13,Resignation,Better Career Opportunity,0,Yes
387,1941,2025-04-05,Resignation,End of Contract,60,Yes
388,573,2025-03-24,Retirement,Personal Reasons,90,Yes
389,2526,2025-12-29,Resignation,Performance Issues,90,Yes
390,2181,2024-04-14,Termination,Company Restructuring,90,Yes
391,1509,2024-09-16,Termination,Personal Reasons,0,No
392,2971,2025-02-19,Resignation,Better Career Opportunity,90,Yes
393,2370,2024-12-20,Contract End,Retirement,0,Yes
394,2577,2024-01-09,Resignation,Health Issues,15,No
395,2346,2024-02-26,Resignation,Higher Education,15,Yes
396,621,2025-10-08,Resignation,Health Issues,15,Yes
397,1932,2025-11-07,Termination,Better Career Opportunity,15,Yes
398,2713,2025-08-14,Resignation,Company Restructuring,90,Yes
399,1883,2024-01-09,Contract End,End of Contract,30,Yes
400,2953,2025-07-24,Resignation,Performance Issues,90,Yes
401,1143,2025-12-30,Contract End,End of Contract,30,Yes
402,1220,2024-03-22,Contract End,Performance Issues,15,Yes
403,1966,2024-06-03,Resignation,Personal Reasons,90,No
404,1121,2024-02-03,Termination,Performance Issues,0,Yes
405,1617,2025-03-30,Resignation,Personal Reasons,15,Yes
406,2926,2025-08-28,Resignation,Higher Education,30,No
407,1963,2025-09-26,Resignation,Retirement,15,No
408,2303,2025-04-12,Resignation,Performance Issues,15,Yes
409,981,2024-10-18,Termination,Retirement,0,Yes
410,2614,2024-09-05,Resignation,Retirement,0,Yes
411,1935,2024-04-14,Resignation,Higher Education,15,Yes
412,647,2025-03-27,Resignation,Health Issues,60,Yes
413,1177,2024-10-26,Resignation,Personal Reasons,30,Yes
414,367,2025-04-24,Retirement,Retirement,90,Yes
415,153,2024-12-06,Retirement,Relocation,60,No
416,149,2025-10-02,Resignation,Health Issues,60,Yes
417,1186,2024-05-23,Termination,Better Career Opportunity,0,Yes
418,1373,2024-09-13,Resignation,Performance Issues,60,No
419,2024,2024-11-18,Resignation,Relocation,90,Yes
420,462,2025-09-02,Resignation,Personal Reasons,15,Yes
421,2944,2024-07-03,Resignation,Relocation,0,Yes
422,2326,2024-06-29,Termination,Retirement,15,Yes
423,1661,2024-11-23,Resignation,Health Issues,90,Yes
424,391,2025-05-12,Resignation,Relocation,15,Yes
425,28,2024-09-25,Retirement,Performance Issues,60,Yes
426,1351,2025-05-01,Termination,Performance Issues,90,Yes
427,2678,2024-11-11,Resignation,Personal Reasons,15,Yes
428,1257,2024-07-21,Resignation,Relocation,60,Yes
429,2882,2025-11-07,Retirement,Performance Issues,0,Yes
430,1506,2025-12-12,Retirement,Retirement,15,No
431,1864,2025-03-07,Resignation,Personal Reasons,60,Yes
432,2202,2024-11-27,Retirement,Retirement,15,Yes
433,336,2024-06-13,Resignation,End of Contract,60,Yes
434,2311,2025-01-06,Resignation,Higher Education,0,No
435,829,2024-06-06,Retirement,End of Contract,15,Yes
436,1810,2024-07-22,Retirement,Higher Education,15,Yes
437,2091,2025-04-09,Resignation,Company Restructuring,0,Yes
438,1872,2024-09-28,Resignation,Better Career Opportunity,90,Yes
439,2963,2025-05-06,Termination,Better Career Opportunity,60,Yes
440,893,2025-11-06,Resignation,Higher Education,0,Yes
441,2217,2025-04-07,Termination,Better Career Opportunity,0,No
442,1176,2024-03-31,Resignation,Health Issues,15,Yes
443,2988,2024-02-04,Termination,Health Issues,30,No
444,1547,2025-04-22,Resignation,Health Issues,0,Yes
445,2209,2024-08-25,Resignation,Relocation,30,Yes
446,1610,2024-08-02,Contract End,End of Contract,15,Yes
447,15,2024-10-13,Resignation,Better Career Opportunity,30,Yes
448,1738,2025-04-17,Termination,End of Contract,60,No
449,1418,2025-05-12,Resignation,Relocation,30,Yes
450,463,2024-11-28,Retirement,Better Career Opportunity,60,Yes
451,65,2025-11-10,Retirement,Retirement,15,Yes
452,1829,2024-08-14,Resignation,Better Career Opportunity,15,Yes
453,960,2024-10-27,Resignation,End of Contract,15,Yes
454,574,2024-04-04,Termination,End of Contract,30,Yes
455,2360,2025-08-05,Retirement,Personal Reasons,90,Yes
456,1314,2024-12-04,Resignation,Retirement,30,No
457,2136,2025-08-13,Contract End,Retirement,60,Yes
458,2424,2025-10-03,Resignation,Relocation,60,Yes
459,1411,2024-06-16,Resignation,Health Issues,90,Yes
460,612,2024-12-20,Resignation,Performance Issues,60,Yes
461,988,2025-06-13,Resignation,Retirement,30,No
462,1897,2025-10-09,Resignation,Better Career Opportunity,90,Yes
463,2171,2024-02-12,Resignation,Relocation,60,Yes
464,2649,2024-05-26,Resignation,Higher Education,60,No
465,2968,2024-10-11,Resignation,Retirement,0,Yes
466,2470,2025-11-04,Resignation,Better Career Opportunity,0,Yes
467,2967,2024-05-16,Termination,End of Contract,15,Yes
468,1364,2025-10-08,Retirement,Performance Issues,0,Yes
469,481,2025-11-03,Resignation,Company Restructuring,15,Yes
470,1625,2024-08-16,Termination,Retirement,90,Yes
471,1910,2025-01-02,Resignation,End of Contract,30,Yes
472,2037,2024-02-10,Resignation,Company Restructuring,0,No
473,1312,2025-11-20,Termination,Retirement,30,Yes
474,907,2024-06-10,Resignation,Relocation,0,Yes
475,2373,2024-02-02,Retirement,Health Issues,30,Yes
476,1556,2024-12-09,Resignation,Retirement,60,Yes
477,1383,2025-05-29,Retirement,Performance Issues,60,No
478,2010,2024-05-23,Resignation,Company Restructuring,15,Yes
479,574,2024-11-14,Resignation,End of Contract,60,Yes
480,2629,2024-07-14,Retirement,Better Career Opportunity,90,Yes
481,2738,2025-05-07,Termination,Better Career Opportunity,0,Yes
