review_id,employee_id,review_date,review_period,performance_rating,performance_category,goals_completed,manager_feedback,promotion_recommended
48,543,2024-08-13,Q1,4.8,Outstanding,6,Needs improvement in productivity.,No
49,647,2025-01-31,Q3,3.3,Meets Expectations,3,Strong technical skills.,Yes
50,551,2025-10-11,Q1,2.8,Needs Improvement,5,Strong technical skills.,No
51,2478,2025-11-22,Q3,2.6,Needs Improvement,6,Strong technical skills.,No
52,1029,2024-12-25,Q1,4.7,Outstanding,4,Requires additional coaching.,No
53,181,2024-11-09,Q2,2.0,Poor,7,Reliable and dependable employee.,No
54,2260,2025-09-19,Q1,4.1,Exceeds Expectations,4,Consistently exceeds expectations.,Yes
55,2235,2025-07-12,Q3,2.1,Poor,5,Requires additional coaching.,Yes
56,172,2024-12-06,Q1,2.9,Needs Improvement,8,Good communication and collaboration.,Yes
57,2732,2024-05-23,Q4,2.3,Poor,5,Good communication and collaboration.,Yes
58,726,2024-11-28,Q1,4.6,Outstanding,5,Needs improvement in productivity.,No
59,2744,2024-02-20,Q2,4.6,Outstanding,7,Reliable and dependable employee.,Yes
60,1567,2024-12-05,Q4,4.6,Outstanding,6,Good communication and collaboration.,No
61,1433,2025-07-06,Q2,2.9,Needs Improvement,6,Excellent leadership and teamwork.,Yes
62,1633,2025-08-19,Q1,3.0,Meets Expectations,7,Needs improvement in productivity.,No
63,2784,2024-01-07,Q3,4.9,Outstanding,3,Consistently exceeds expectations.,No
64,732,2024-05-14,Q3,3.7,Meets Expectations,3,Consistently exceeds expectations.,No
65,1416,2024-03-10,Q3,4.2,Exceeds Expectations,9,Consistently exceeds expectations.,No
66,2362,2024-07-16,Q1,2.6,Needs Improvement,9,Excellent leadership and teamwork.,Yes
67,1492,2025-09-24,Q3,3.3,Meets Expectations,8,Consistently exceeds expectations.,No
68,2078,2024-04-25,Q4,2.9,Needs Improvement,8,Requires additional coaching.,No
69,2271,2024-11-05,Q4,2.4,Poor,9,Reliable and dependable employee.,No
70,1664,2025-03-13,Q1,3.6,Meets Expectations,7,Strong technical skills.,Yes
71,1761,2025-06-24,Q3,4.4,Exceeds Expectations,10,Demonstrates strong problem-solving skills.,No
72,2768,2025-03-30,Q4,2.6,Needs Improvement,5,Consistently exceeds expectations.,No
73,2112,2024-01-21,Q3,4.0,Exceeds Expectations,4,Good communication and collaboration.,No
74,921,2025-07-09,Q2,4.4,Exceeds Expectations,3,Excellent leadership and teamwork.,Yes
75,1947,2025-10-02,Q1,3.8,Meets Expectations,10,Requires additional coaching.,Yes
76,2943,2024-09-14,Q4,4.1,Exceeds Expectations,9,Good communication and collaboration.,Yes
77,2688,2025-05-21,Q1,4.1,Exceeds Expectations,9,Good communication and collaboration.,Yes
78,2851,2025-09-09,Q1,3.6,Meets Expectations,6,Consistently exceeds expectations.,No
79,547,2025-06-26,Q3,4.4,Exceeds Expectations,10,Requires additional coaching.,No
80,652,2025-06-23,Q4,4.2,Exceeds Expectations,10,Strong technical skills.,Yes
81,2612,2025-11-29,Q4,2.8,Needs Improvement,6,Strong technical skills.,No
82,318,2024-01-14,Q2,4.1,Exceeds Expectations,7,Needs improvement in productivity.,No
83,2213,2024-01-12,Q2,2.2,Poor,6,Requires additional coaching.,Yes
84,2894,2025-12-30,Q4,2.6,Needs Improvement,9,Needs improvement in productivity.,No
85,1704,2024-01-20,Q4,2.2,Poor,9,Excellent leadership and teamwork.,No
86,1954,2024-11-11,Q3,2.0,Poor,7,Requires additional coaching.,No
87,2205,2024-08-10,Q2,4.2,Exceeds Expectations,10,Good communication and collaboration.,No
88,1786,2025-10-05,Q4,3.5,Meets Expectations,8,Requires additional coaching.,Yes
89,1915,2024-04-16,Q1,4.8,Outstanding,9,Excellent leadership and teamwork.,Yes
90,2633,2024-01-22,Q4,3.3,Meets Expectations,5,Excellent leadership and teamwork.,No
91,1553,2025-10-04,Q4,3.0,Meets Expectations,8,Needs improvement in productivity.,No
92,1140,2024-01-06,Q4,4.3,Exceeds Expectations,7,Consistently exceeds expectations.,No
93,80,2025-12-18,Q1,4.2,Exceeds Expectations,8,Good communication and collaboration.,Yes
94,2670,2024-11-20,Q1,2.1,Poor,6,Good communication and collaboration.,Yes
95,2545,2024-12-04,Q2,2.5,Needs Improvement,10,Consistently exceeds expectations.,Yes
96,1905,2025-01-21,Q3,4.1,Exceeds Expectations,5,Consistently exceeds expectations.,Yes
97,1275,2025-09-17,Q1,2.3,Poor,7,Requires additional coaching.,No
98,2929,2025-05-31,Q2,2.6,Needs Improvement,4,Strong technical skills.,Yes
99,2319,2025-01-11,Q3,4.3,Exceeds Expectations,9,Needs improvement in productivity.,Yes
100,2073,2025-08-30,Q1,3.9,Meets Expectations,9,Demonstrates strong problem-solving skills.,Yes
101,1776,2025-11-14,Q4,4.9,Outstanding,5,Requires additional coaching.,Yes
102,2138,2024-05-18,Q3,4.9,Outstanding,10,Demonstrates strong problem-solving skills.,No
103,2995,2025-07-23,Q3,3.8,Meets Expectations,6,Consistently exceeds expectations.,No
104,1847,2025-12-09,Q4,2.7,Needs Improvement,9,Needs improvement in productivity.,Yes
105,2025,2024-12-24,Q2,4.6,Outstanding,10,Good communication and collaboration.,No
106,1059,2025-11-05,Q3,3.0,Meets Expectations,3,Good communication and collaboration.,Yes
107,989,2024-06-12,Q4,4.2,Exceeds Expectations,6,Demonstrates strong problem-solving skills.,No
108,1836,2025-05-09,Q1,4.4,Exceeds Expectations,7,Good communication and collaboration.,No
109,2834,2024-10-15,Q3,2.7,Needs Improvement,10,Needs improvement in productivity.,No
110,2255,2025-01-05,Q4,3.0,Meets Expectations,7,Strong technical skills.,No
111,945,2024-10-06,Q2,2.4,Poor,8,Consistently exceeds expectations.,Yes
112,785,2024-12-04,Q4,2.6,Needs Improvement,7,Strong technical skills.,Yes
113,796,2024-10-21,Q3,2.9,Needs Improvement,5,Strong technical skills.,Yes
114,2901,2024-10-10,Q3,3.6,Meets Expectations,3,Excellent leadership and teamwork.,No
115,2857,2025-12-11,Q4,4.8,Outstanding,4,Excellent leadership and teamwork.,No
116,1923,2025-10-14,Q3,3.4,Meets Expectations,5,Excellent leadership and teamwork.,No
117,1957,2024-03-31,Q1,2.3,Poor,9,Demonstrates strong problem-solving skills.,Yes
118,2364,2024-06-13,Q1,3.9,Meets Expectations,5,Reliable and dependable employee.,No
119,349,2024-02-08,Q1,5.0,Outstanding,9,Good communication and collaboration.,No
120,1846,2024-03-26,Q3,4.7,Outstanding,9,Strong technical skills.,Yes
121,2498,2025-06-19,Q1,4.9,Outstanding,6,Good communication and collaboration.,No
122,2706,2025-07-04,Q2,2.2,Poor,5,Consistently exceeds expectations.,Yes
123,11,2025-11-02,Q4,3.2,Meets Expectations,7,Excellent leadership and teamwork.,Yes
124,1181,2024-02-06,Q4,4.1,Exceeds Expectations,4,Good communication and collaboration.,No
125,2561,2024-03-12,Q2,3.8,Meets Expectations,9,Consistently exceeds expectations.,Yes
126,2653,2025-06-11,Q3,2.4,Poor,5,Consistently exceeds expectations.,Yes
127,680,2025-11-05,Q3,4.4,Exceeds Expectations,10,Consistently exceeds expectations.,No
128,2821,2025-05-12,Q4,2.9,Needs Improvement,7,Demonstrates strong problem-solving skills.,No
129,330,2024-08-07,Q4,3.8,Meets Expectations,8,Strong technical skills.,Yes
130,375,2025-07-14,Q1,2.7,Needs Improvement,7,Excellent leadership and teamwork.,Yes
131,1928,2025-02-23,Q4,3.6,Meets Expectations,7,Reliable and dependable employee.,No
132,2601,2025-11-20,Q1,4.4,Exceeds Expectations,10,Needs improvement in productivity.,No
133,1366,2025-01-18,Q1,3.0,Meets Expectations,5,Needs improvement in productivity.,No
134,2842,2025-01-22,Q4,3.5,Meets Expectations,3,Demonstrates strong problem-solving skills.,Yes
135,1289,2025-12-27,Q1,2.8,Needs Improvement,9,Excellent leadership and teamwork.,No
136,1693,2025-07-11,Q3,2.2,Poor,10,Demonstrates strong problem-solving skills.,Yes
137,834,2024-07-22,Q2,2.8,Needs Improvement,7,Demonstrates strong problem-solving skills.,No
138,498,2024-02-02,Q2,2.1,Poor,5,Strong technical skills.,Yes
139,2263,2025-01-20,Q2,3.2,Meets Expectations,4,Demonstrates strong problem-solving skills.,Yes
140,2654,2024-03-12,Q4,4.5,Outstanding,7,Strong technical skills.,No
141,1977,2025-04-19,Q2,4.9,Outstanding,10,Reliable and dependable employee.,No
142,781,2024-10-30,Q2,4.8,Outstanding,4,Strong technical skills.,No
143,1393,2024-05-25,Q3,4.8,Outstanding,3,Strong technical skills.,No
144,2405,2024-11-10,Q4,3.7,Meets Expectations,5,Demonstrates strong problem-solving skills.,No
145,1414,2024-05-26,Q4,3.0,Meets Expectations,10,Needs improvement in productivity.,Yes
146,2857,2024-03-14,Q4,2.7,Needs Improvement,6,Requires additional coaching.,Yes
147,1304,2025-02-28,Q4,4.2,Exceeds Expectations,9,Reliable and dependable employee.,No
148,152,2024-05-24,Q3,2.4,Poor,4,Demonstrates strong problem-solving skills.,Yes
149,2155,2025-08-04,Q1,4.7,Outstanding,5,Requires additional coaching.,Yes
150,307,2024-07-15,Q3,3.4,Meets Expectations,8,Requires additional coaching.,Yes
151,1346,2025-12-14,Q4,4.6,Outstanding,8,Demonstrates strong problem-solving skills.,Yes
152,2530,2024-12-26,Q3,2.2,Poor,6,Consistently exceeds expectations.,No
153,404,2024-07-19,Q1,4.3,Exceeds Expectations,10,Reliable and dependable employee.,No
154,119,2025-10-02,Q1,2.1,Poor,7,Needs improvement in productivity.,No
155,1765,2025-05-10,Q4,2.4,Poor,5,Reliable and dependable employee.,Yes
156,324,2025-10-17,Q4,3.8,Meets Expectations,6,Demonstrates strong problem-solving skills.,Yes
157,952,2024-09-26,Q3,3.4,Meets Expectations,10,Strong technical skills.,Yes
158,1906,2024-02-07,Q2,4.7,Outstanding,4,Demonstrates strong problem-solving skills.,No
159,2407,2024-12-30,Q4,2.9,Needs Improvement,7,Demonstrates strong problem-solving skills.,No
160,816,2025-01-11,Q4,5.0,Outstanding,4,Good communication and collaboration.,No
161,2343,2025-09-09,Q3,3.1,Meets Expectations,7,Excellent leadership and teamwork.,No
162,1125,2025-01-25,Q1,2.0,Poor,10,Strong technical skills.,Yes
163,2487,2024-05-30,Q2,4.4,Exceeds Expectations,6,Strong technical skills.,Yes
164,2574,2024-02-29,Q1,2.3,Poor,7,Demonstrates strong problem-solving skills.,Yes
165,2374,2025-08-15,Q2,3.1,Meets Expectations,4,Strong technical skills.,No
166,1702,2024-11-17,Q2,2.5,Needs Improvement,8,Strong technical skills.,Yes
167,1053,2024-03-24,Q4,4.7,Outstanding,7,Needs improvement in productivity.,Yes
168,1919,2025-12-16,Q2,4.9,Outstanding,6,Requires additional coaching.,No
169,370,2025-02-28,Q1,4.4,Exceeds Expectations,7,Consistently exceeds expectations.,No
170,1510,2025-12-13,Q3,4.0,Exceeds Expectations,9,Needs improvement in productivity.,Yes
171,2765,2025-08-19,Q1,2.7,Needs Improvement,8,Good communication and collaboration.,Yes
172,2603,2024-09-16,Q3,4.5,Outstanding,9,Consistently exceeds expectations.,Yes
173,186,2024-07-23,Q3,4.8,Outstanding,10,Consistently exceeds expectations.,Yes
174,962,2024-09-26,Q2,4.7,Outstanding,9,Demonstrates strong problem-solving skills.,No
175,2747,2025-08-15,Q4,4.8,Outstanding,5,Requires additional coaching.,Yes
176,2005,2024-02-25,Q3,3.8,Meets Expectations,3,Needs improvement in productivity.,Yes
177,1817,2025-07-27,Q2,3.3,Meets Expectations,8,Consistently exceeds expectations.,No
178,2231,2024-06-01,Q3,4.7,Outstanding,3,Requires additional coaching.,No
179,778,2024-06-11,Q4,4.9,Outstanding,4,Good communication and collaboration.,Yes
180,208,2024-07-07,Q2,4.4,Exceeds Expectations,5,Good communication and collaboration.,Yes
181,2271,2024-10-03,Q2,2.6,Needs Improvement,6,Needs improvement in productivity.,Yes
182,2442,2024-10-08,Q2,2.0,Poor,5,Strong technical skills.,Yes
183,451,2025-10-17,Q1,4.0,Exceeds Expectations,5,Excellent leadership and teamwork.,No
184,975,2025-08-26,Q1,3.8,Meets Expectations,5,Strong technical skills.,Yes
185,520,2025-01-04,Q1,4.2,Exceeds Expectations,4,Demonstrates strong problem-solving skills.,No
186,1483,2025-05-04,Q1,3.5,Meets Expectations,10,Good communication and collaboration.,Yes
187,2979,2025-07-15,Q3,4.3,Exceeds Expectations,10,Excellent leadership and teamwork.,Yes
188,1962,2025-01-19,Q4,4.5,Outstanding,4,Demonstrates strong problem-solving skills.,No
189,302,2024-12-06,Q3,4.7,Outstanding,5,Consistently exceeds expectations.,Yes
190,1127,2025-12-12,Q3,3.9,Meets Expectations,9,Strong technical skills.,No
191,2071,2024-09-05,Q1,3.8,Meets Expectations,4,Good communication and collaboration.,No
192,1850,2025-03-05,Q4,4.7,Outstanding,8,Demonstrates strong problem-solving skills.,No
193,1704,2024-05-18,Q3,4.2,Exceeds Expectations,9,Needs improvement in productivity.,No
194,1534,2024-03-18,Q4,4.9,Outstanding,4,Consistently exceeds expectations.,Yes
195,382,2024-06-15,Q3,3.3,Meets Expectations,5,Excellent leadership and teamwork.,No
196,2745,2025-06-20,Q3,2.4,Poor,9,Excellent leadership and teamwork.,No
197,2460,2025-01-15,Q1,2.9,Needs Improvement,6,Reliable and dependable employee.,No
198,919,2024-08-10,Q3,4.5,Outstanding,8,Consistently exceeds expectations.,No
199,2352,2025-02-20,Q4,2.7,Needs Improvement,3,Strong technical skills.,Yes
200,739,2024-01-19,Q3,2.8,Needs Improvement,8,Needs improvement in productivity.,Yes
201,744,2025-08-10,Q4,4.6,Outstanding,4,Reliable and dependable employee.,Yes
202,376,2025-03-23,Q2,4.2,Exceeds Expectations,9,Requires additional coaching.,No
203,1397,2024-09-04,Q3,2.5,Needs Improvement,8,Consistently exceeds expectations.,Yes
204,638,2025-12-03,Q1,2.5,Needs Improvement,4,Strong technical skills.,No
205,2712,2024-06-10,Q4,3.3,Meets Expectations,9,Strong technical skills.,Yes
206,2099,2024-07-11,Q4,2.3,Poor,4,Strong technical skills.,No
207,2159,2025-01-14,Q1,4.0,Exceeds Expectations,6,Requires additional coaching.,Yes
208,32,2024-04-06,Q2,2.6,Needs Improvement,5,Strong technical skills.,No
209,1344,2025-12-28,Q4,2.4,Poor,9,Reliable and dependable employee.,Yes
210,1558,2025-09-11,Q2,3.6,Meets Expectations,8,Consistently exceeds expectations.,No
211,174,2025-05-25,Q4,3.3,Meets Expectations,4,Needs improvement in productivity.,No
212,2349,2025-06-22,Q4,3.2,Meets Expectations,7,Consistently exceeds expectations.,No
213,86,2024-02-03,Q2,4.9,Outstanding,10,Needs improvement in productivity.,Yes
214,1789,2025-09-30,Q2,4.5,Outstanding,9,Requires additional coaching.,Yes
215,1622,2024-07-16,Q3,4.6,Outstanding,6,Needs improvement in productivity.,Yes
216,313,2025-05-09,Q1,3.5,Meets Expectations,6,Needs improvement in productivity.,No
217,2980,2024-05-11,Q2,4.9,Outstanding,6,Consistently exceeds expectations.,Yes
218,1049,2024-10-01,Q2,2.6,Needs Improvement,4,Reliable and dependable employee.,No
219,1901,2024-09-23,Q4,4.3,Exceeds Expectations,8,Needs improvement in productivity.,Yes
220,1802,2025-11-06,Q4,2.2,Poor,7,Strong technical skills.,Yes
221,1442,2025-01-26,Q3,3.5,Meets Expectations,10,Demonstrates strong problem-solving skills.,Yes
222,234,2025-11-02,Q3,3.1,Meets Expectations,4,Consistently exceeds expectations.,No
223,1896,2025-10-05,Q1,3.7,Meets Expectations,10,Good communication and collaboration.,No
224,2479,2024-08-12,Q2,3.4,Meets Expectations,3,Demonstrates strong problem-solving skills.,Yes
225,1407,2024-07-01,Q1,4.9,Outstanding,5,Excellent leadership and teamwork.,Yes
226,2899,2024-07-02,Q4,3.3,Meets Expectations,5,Needs improvement in productivity.,No
227,1159,2025-07-26,Q3,3.2,Meets Expectations,3,Needs improvement in productivity.,Yes
228,1351,2025-10-20,Q4,2.3,Poor,7,Strong technical skills.,Yes
229,1366,2024-08-02,Q2,2.2,Poor,8,Strong technical skills.,No
230,529,2025-07-06,Q1,3.8,Meets Expectations,7,Requires additional coaching.,No
231,524,2024-03-17,Q1,4.0,Exceeds Expectations,9,Needs improvement in productivity.,Yes
232,1486,2025-01-08,Q2,2.9,Needs Improvement,8,Demonstrates strong problem-solving skills.,Yes
233,928,2025-08-10,Q2,5.0,Outstanding,4,Strong technical skills.,Yes
234,2080,2025-05-08,Q1,4.3,Exceeds Expectations,8,Reliable and dependable employee.,No
235,632,2025-12-06,Q2,2.5,Needs Improvement,10,Excellent leadership and teamwork.,No
236,1493,2024-10-03,Q2,4.0,Exceeds Expectations,10,Strong technical skills.,No
237,959,2024-07-02,Q3,3.6,Meets Expectations,10,Good communication and collaboration.,No
238,2779,2025-12-09,Q4,4.8,Outstanding,10,Strong technical skills.,No
239,2060,2025-10-29,Q2,3.6,Meets Expectations,6,Reliable and dependable employee.,No
240,214,2024-10-06,Q3,3.9,Meets Expectations,4,Consistently exceeds expectations.,No
241,344,2024-11-10,Q3,4.3,Exceeds Expectations,10,Reliable and dependable employee.,No
242,376,2024-11-13,Q2,4.8,Outstanding,10,Needs improvement in productivity.,Yes
243,1700,2024-05-27,Q3,2.2,Poor,6,Requires additional coaching.,Yes
244,1536,2025-02-12,Q3,2.7,Needs Improvement,4,Needs improvement in productivity.,Yes
245,564,2024-05-21,Q4,2.1,Poor,5,Demonstrates strong problem-solving skills.,No
246,2521,2024-12-01,Q1,2.0,Poor,3,Strong technical skills.,Yes
247,613,2024-02-10,Q4,3.6,Meets Expectations,4,Strong technical skills.,Yes
248,1234,2025-05-19,Q2,2.4,Poor,9,Demonstrates strong problem-solving skills.,Yes
249,455,2024-09-01,Q4,4.5,Outstanding,3,Good communication and collaboration.,Yes
250,1194,2025-10-11,Q3,3.3,Meets Expectations,6,Requires additional coaching.,Yes
251,2722,2025-07-18,Q3,4.0,Exceeds Expectations,4,Excellent leadership and teamwork.,No
252,1926,2025-03-03,Q4,2.1,Poor,8,Strong technical skills.,Yes
253,1463,2024-10-08,Q3,4.4,Exceeds Expectations,6,Consistently exceeds expectations.,No
254,547,2024-07-11,Q3,2.1,Poor,5,Demonstrates strong problem-solving skills.,No
255,2588,2025-08-24,Q2,2.5,Needs Improvement,4,Demonstrates strong problem-solving skills.,Yes
256,1202,2025-03-13,Q2,2.6,Needs Improvement,3,Needs improvement in productivity.,No
257,2112,2024-09-15,Q4,3.2,Meets Expectations,7,Excellent leadership and teamwork.,Yes
258,1172,2024-12-02,Q1,3.1,Meets Expectations,8,Strong technical skills.,Yes
259,1508,2025-09-18,Q4,3.3,Meets Expectations,10,Requires additional coaching.,No
260,766,2025-05-30,Q4,3.5,Meets Expectations,8,Strong technical skills.,Yes
261,2979,2024-11-04,Q4,3.3,Meets Expectations,5,Strong technical skills.,No
262,421,2025-12-01,Q3,2.2,Poor,7,Demonstrates strong problem-solving skills.,No
263,683,2024-07-31,Q3,4.1,Exceeds Expectations,10,Excellent leadership and teamwork.,No
264,2519,2024-12-29,Q3,5.0,Outstanding,3,Consistently exceeds expectations.,No
265,1489,2025-11-30,Q2,3.5,Meets Expectations,3,Reliable and dependable employee.,No
266,143,2025-04-10,Q2,2.4,Poor,8,Needs improvement in productivity.,No
267,2324,2024-04-07,Q2,2.1,Poor,10,Needs improvement in productivity.,No
268,1819,2025-11-02,Q2,4.3,Exceeds Expectations,8,Requires additional coaching.,No
269,2661,2025-09-24,Q1,2.8,Needs Improvement,3,Reliable and dependable employee.,No
270,2121,2025-06-01,Q1,3.2,Meets Expectations,7,Strong technical skills.,No
271,879,2025-08-12,Q3,5.0,Outstanding,10,Good communication and collaboration.,Yes
272,556,2024-11-20,Q4,4.6,Outstanding,5,Demonstrates strong problem-solving skills.,Yes
273,2794,2025-05-22,Q3,4.9,Outstanding,8,Consistently exceeds expectations.,No
274,1229,2024-04-13,Q2,4.6,Outstanding,8,Good communication and collaboration.,Yes
275,824,2024-06-06,Q2,4.4,Exceeds Expectations,10,Excellent leadership and teamwork.,No
276,2270,2025-06-06,Q4,3.7,Meets Expectations,5,Consistently exceeds expectations.,Yes
277,1267,2025-03-04,Q4,3.2,Meets Expectations,9,Requires additional coaching.,Yes
278,514,2024-09-12,Q1,4.9,Outstanding,10,Demonstrates strong problem-solving skills.,No
279,526,2025-09-27,Q2,4.6,Outstanding,5,Requires additional coaching.,Yes
280,509,2025-08-03,Q3,3.6,Meets Expectations,5,Reliable and dependable employee.,No
281,2906,2025-01-22,Q3,2.7,Needs Improvement,4,Strong technical skills.,Yes
282,2602,2025-11-19,Q3,4.9,Outstanding,5,Strong technical skills.,Yes
283,2059,2024-02-15,Q2,3.9,Meets Expectations,5,Needs improvement in productivity.,Yes
284,117,2024-10-10,Q3,2.2,Poor,6,Requires additional coaching.,Yes
285,2040,2025-11-19,Q3,4.7,Outstanding,7,Demonstrates strong problem-solving skills.,Yes
286,2806,2025-07-24,Q4,3.2,Meets Expectations,4,Excellent leadership and teamwork.,Yes
287,1801,2025-07-10,Q4,3.2,Meets Expectations,6,Needs improvement in productivity.,Yes
288,1281,2024-08-14,Q3,4.6,Outstanding,8,Requires additional coaching.,Yes
289,1518,2024-05-07,Q1,3.5,Meets Expectations,8,Good communication and collaboration.,No
290,502,2024-05-07,Q2,2.8,Needs Improvement,5,Consistently exceeds expectations.,Yes
291,1189,2025-07-17,Q4,4.8,Outstanding,6,Reliable and dependable employee.,No
292,2367,2024-04-17,Q2,4.2,Exceeds Expectations,5,Demonstrates strong problem-solving skills.,No
293,2043,2025-03-24,Q4,4.6,Outstanding,3,Consistently exceeds expectations.,No
294,2071,2025-05-23,Q2,3.4,Meets Expectations,6,Needs improvement in productivity.,Yes
295,208,2024-04-19,Q4,2.8,Needs Improvement,7,Excellent leadership and teamwork.,Yes
296,1766,2024-07-05,Q3,2.4,Poor,8,Requires additional coaching.,No
297,186,2024-07-24,Q2,3.2,Meets Expectations,8,Strong technical skills.,Yes
298,1583,2024-02-16,Q3,3.5,Meets Expectations,4,Reliable and dependable employee.,Yes
299,1614,2025-02-01,Q3,3.1,Meets Expectations,8,Reliable and dependable employee.,Yes
300,2468,2025-03-16,Q1,3.5,Meets Expectations,3,Excellent leadership and teamwork.,Yes
301,2923,2025-07-04,Q4,3.0,Meets Expectations,10,Reliable and dependable employee.,Yes
302,1344,2025-05-06,Q3,4.8,Outstanding,5,Requires additional coaching.,No
303,2432,2024-06-08,Q4,3.0,Meets Expectations,7,Demonstrates strong problem-solving skills.,Yes
304,1509,2025-12-26,Q1,3.0,Meets Expectations,9,Strong technical skills.,Yes
305,2445,2025-10-22,Q2,3.4,Meets Expectations,3,Demonstrates strong problem-solving skills.,Yes
306,2148,2024-05-19,Q4,3.9,Meets Expectations,5,Good communication and collaboration.,Yes
307,2346,2024-10-09,Q1,4.8,Outstanding,6,Excellent leadership and teamwork.,No
308,1285,2024-05-28,Q4,3.3,Meets Expectations,6,Requires additional coaching.,No
309,2980,2025-02-16,Q2,2.2,Poor,6,Needs improvement in productivity.,No
310,2153,2024-12-29,Q2,3.1,Meets Expectations,10,Needs improvement in productivity.,No
311,2769,2024-08-01,Q3,4.3,Exceeds Expectations,10,Good communication and collaboration.,Yes
312,1143,2025-07-21,Q2,3.7,Meets Expectations,7,Strong technical skills.,Yes
313,2828,2025-07-29,Q3,4.1,Exceeds Expectations,10,Needs improvement in productivity.,No
314,1179,2025-03-11,Q4,2.4,Poor,9,Needs improvement in productivity.,Yes
